Title,Location,Company,Salary
Data Scientist,"Waterloo, ON",University of Waterloo,None
DATA SCIENTIST,"Toronto, ON",Alcohol and Gaming Commission of Ontario,"$77,013 - $96,238 a year"
Data Scientist,"Winnipeg, MB",Manitoba Government,"$67,671 - $82,064 a year"
Junior Data Scientist,"Vancouver, BC",Providence Health Care,None
Data Scientist,"Vancouver, BC",BOEING,None
Data Scientist,"Vancouver, BC",MasterCard,None
Data Scientist,"Montréal, QC",Bell Canada,None
Data Scientist,"Vancouver, BC",Microsoft,None
Data Scientist,"Regina, SK",eHealth Saskatchewan,$41.56 - $50.57 an hour
Acoustic Data Scientist / Deep Learning Developer,"Halifax, NS",Dalhousie University,"$56,000 a year"
Data & Applied Scientist,"Vancouver, BC",Microsoft,None
Data Scientist - Risk Scoring,"Montréal, QC",Jumio Corporation,None
Data Scientist,"Montréal, QC",Ubisoft,None
Data Scientist,Canada,Koho,None
Data Scientist,"Saguenay, QC",CGI,None
Intern Opportunities for Students – Data & Applied Sciences...,"Vancouver, BC",Microsoft,None
Data Scientist,"London, ON",LSEG (London Stock Exchange Group),None
Data Scientist,"Kelowna, BC",Two Hat,None
Applied Scientist (Remote),"Vancouver, BC",Yelp,None
Data Scientist,"Victoria, BC",Pani Energy Inc,None
Lead Data Scientist - Core Local Business (Remote),"Toronto, ON",Yelp,None
Data Scientist,"Toronto, ON",Loopio,None
Data Scientist,Remote,Mishon Inc,$35 - $45 an hour
Data Science Intern,"Montréal, QC",TouchTunes / PlayNetwork,None
"Data & Analytics - Senior Manager, Data Platform Engineering","Vancouver, BC",Aritzia,None
Senior Data Scientist,"Vancouver, BC",Oracle,None
Data Science Manager,"Vancouver, BC",Microsoft,None
Product Data Scientist,"Waterloo, ON",Carta,None
Data Scientist Engineer,"Mississauga, ON",BASF,None
Senior Applied Data Scientist,"Vancouver, BC",Microsoft,None
Data Scientist,"Montréal, QC",Peritus.ai,None
Applied Scientist (Remote),"Vancouver, BC",Yelp,None
Data Scientist I,"Montréal, QC",TD Bank,None
Data Scientist,"Windsor, ON",Rock FOC Technology,None
Senior Applied Data Scientist,"Vancouver, BC",Microsoft,None
Data Scientist,"Mississauga, ON",Electrical Safety Authority,None
"Professor, Data Science (Part-time)","Oakville, ON",Sheridan College,None
Data Scientist,"Brampton, ON",Loblaw Companies Limited,None
Data Scientist,"Ottawa, ON","Canadian Bank Note Company, Limited",None
Data Scientist,"Ottawa, ON",Canadian Security Intelligence Service,"$95,350 - $116,060 a year"
Data Scientist,"Vancouver, BC",Cymax Group,None
RES O 30R - Senior Data Scientist,"100 Mile House, BC",BC Public Service,None
Data Engineer/Scientist,"Vancouver, BC",nugget.ai,None
Data Scientist,Remote,PointClickCare,None
Data Scientist / Senior Data Scientist,"Toronto, ON",StackAdapt,None
Data Scientist I,"Montréal, QC",TD Bank,None
Data Scientist,"Toronto, ON",Overbond,None
RES O 30R - Senior Data Scientist,"100 Mile House, BC",BC Public Service,None
Senior Data Scientist,"Vancouver, BC",Zepp Health,"$85,000 - $130,000 a year"
Data scientist,"Montréal, QC",Koïos Intelligence,None
Machine Learning/Analytics Engineer - Data Lake,"Toronto, ON",Goldman Sachs,None
"Data Scientist, Remote",British Columbia,Infostrux Solutions,None
Data Scientist/Analyst – Summer Placement,"Calgary, AB",Grey Owl Engineering,None
"Data Analyst, Co-op (4-8 months) - Summer 2021",Remote,Opencare,None
Data Scientist - Data & Relevancy,"Toronto, ON",Wish,None
Staff Data Scientist - Product,"Toronto, ON",Twitter,None
Data Scientist,"Vancouver, BC",Lightspark,None
Data Engineer/Scientist,"Vancouver, BC",nugget.ai,None
Scientifique de données / Data Scientist,"Montréal, QC",BusPatrol,None
Senior Associate Data Science And Analytics - Implementation,"Toronto, ON",Publicis Sapient,None
Data Scientist,"Moncton, NB",Fiddlehead,None
Senior Data Scientist,"Ottawa, ON",IFS,None
Geospatial Data Scientist,"Calgary, AB",Stantec,None
Product Data Scientist,"Montréal, QC",District M,None
data analyst - informatics and systems,"Vancouver, BC",ClickDishes Inc.,"$52,000 - $60,000 a year"
Fall 2021 Data Science Internship,"Toronto, ON",Shopify,None
Data Scientist (French Services),"Montréal, QC",CBC/Radio-Canada,None
Senior Data Analyst,"Montréal, QC",Autodesk,None
Data Scientist,"Kitchener, ON",Sonova,None
Data Scientist,Remote,PointClickCare,None
Data Scientist,"Montréal, QC",Transit App,None
Business Intelligence Administrator,"Regina, SK",City of Regina,$36.35 - $45.45 an hour
Data Scientist,Canada,Hopper,None
Data Scientist,"Toronto, ON",Dawn InfoTek Inc.,$80 an hour
Data Scientist / Engineer,"Toronto, ON","LotusFlare, Inc.",None
Product Data Scientist,"Montréal, QC",District M,None
Data Scientist Intern,"Vaughan, ON",Minevest Ltd.,None
Senior Data Analyst – Logistics,Canada,Best Buy,None
Software Engineer - Machine Learning (Remote),"Calgary, AB",Yelp,None
Data Scientist,"Moncton, NB",Fiddlehead,None
Senior Data Scientist - RACE21,"Vancouver, BC",Teck Resources Limited,None
Sr. Data Scientist - Experimentation,"Waterloo, ON",McAfee,None
Geospatial Data Scientist,"Calgary, AB",Stantec,None
Data Scientist - Product Data Science,"Toronto, ON",Twitter,None
Scientifique des données / Data Scientist,"Saint-Laurent, QC",CAE Inc.,None
Data Scientist Coop,"Waterloo, ON",Summatti,None
Staff Data Scientist - Product,"Toronto, ON",Twitter,None
"Data Analyst, Co-op (4-8 months) - Summer 2021",Remote,Opencare,None
Machine Learning Scientist (Can be Remote Within Canada),"Ottawa, ON",BluWave-ai,None
Data Scientist,"Montréal, QC",Services Conseils IntelliSoft inc.,None
Specialist Global Black Belt AI/ML,Canada,Microsoft,None
Data Scientist,"Montréal, QC",Nakisa,None
Controls Machine Learning/AI Data Scientist,"Toronto, ON",BMO Financial Group,None
Senior Data Scientist,"Toronto, ON",RBC,None
AI/ML Engineer,"Montréal, QC",Jumio Corporation,None
"Associate Director, Data Aggregation & Analytics","Toronto, ON",RBC,None
Développeur Big Data // Big Data Developer,"Montréal, QC",Triton Digital Canada Inc.,None
Machine Learning Scientist,"Toronto, ON",Chisel AI,None
Data Scientist - Insights,"Montréal, QC",SSENSE,None
Data Scientist,"Burnaby, BC",Awakedata,None
Tableau Data Analyst,"Ottawa, ON",Relogix,None
Data & Analytics Leader,"Vancouver, BC",Slalom Consulting,None
Head of Data Science / AI,"Mountain View, AB",Deepcell,None
Deep Learning Intern- Smart Data Selection,"Waterloo, ON",Bosch Group,None
"Director, Data Analytics","Burnaby, BC",Ritchie Bros.,None
"Cloud Technical Solutions Developer, Big Data, Google Cloud","Waterloo, ON",Google,None
Data Scientist,"Vancouver, BC",Cymax Group,None
Data Scientist,British Columbia,Kinsol Research,None
Senior Machine Learning Scientist,"Toronto, ON",Ada Inc.,None
Senior Machine Learning Engineer,"Vancouver, BC",Affinity.co,None
"Data Scientist, Analytics & Insights","Mississauga, ON",World Vision Canada,None
Data Analyst,"Mississauga, ON",EllisDon Corporation,None
"Data Scientist, Shopping","Toronto, ON",Pinterest,None
Data Scientist,"Toronto, ON",Thinking Capital,None
Research Data Scientist,"Mountain View, AB",Deepcell,None
Data Scientist,None,Sécurité XGuard,None
Big Data Solution Architect,None,Suncor Energy Services,None
Data Scientist,None,Canadian National Railway,None
Data Scientist,None,Imperial Tobacco Canada,"$70,000 - $80,000 a year"
Machine Learning Specialist - Time Series,None,Quarter4 Inc.,None
Data Scientist,None,Neelands,None
Deep Learning Intern - Computer Vision,"Waterloo, ON",Bosch Group,None
Senior Data Analyst,"Montréal, QC",National Bank of Canada,None
"Senior Manager, Data Science","Toronto, ON",Vanguard,None
Data Analyst,"Vancouver, BC",Microsoft,None
"Chercheuse/Chercheur scientifique, recherche appliquée - Sér...","Toronto, ON",Element AI,None
"Analytics, Data Analytics Intelligent Automation, Senior Ass...","Montréal, QC",PwC,None
Senior Data Analyst,None,AppleOne,"$107,300 a year"
"Data Scientist, Supply Chain/Customer Profitability","Richmond Hill, ON",Staples Canada,None
Data Scientist,"Toronto, ON",nugget.ai,None
Data Engineer/Analyst - Active Safety & Autonomous Data Reco...,Ontario,General Motors,None
Director Data & Analytics,"Saint-Hubert, QC",Agropur,None
Big Data Engineer,"Montréal, QC",IBM,None
Postdoctoral Research Scientist - Machine Learning for Audio...,"Waterloo, ON",Bosch Group,None
SENIOR DATA SCIENTIST,"Ottawa, ON",Temetrix,None
Lead Data Scientist,"Vancouver, BC",Hyper Hippo,None
Data Scientist,"Ottawa, ON",Accedian Networks,None
Protein Engineer – Applied Scientist,"Vancouver, BC",AbCellera Biologics,None
Data Analyst,Canada,Hopper,None
Business Intelligence Engineer,"Toronto, ON","AMZN CAN Fulfillment Svcs, ULC",None
Machine Learning Engineer,"Vancouver, BC",Workday,None
Machine Learning Engineer,"Calgary, AB",MNP,None
Data Analyst,"Toronto, ON",Uken Games,None
RES O 27R - Data Scientist,"100 Mile House, BC",BC Public Service,None
Spécialiste NLP,"Montréal, QC",Coveo Solutions,None
Senior Data Scientist (R&D Lead),"Vancouver, BC",Unbounce,None
Applied Deep Learning Scientist (Focus on Computer Vision),"Montréal, QC",Thales Group,None
Data Analyst,"Toronto, ON",Brookfield Asset Management,None
Data Scientist - Innovation & Attributes,"Toronto, ON",Equifax,None
Applied Research Scientist - Canola & Other Oilseed Crops,"Vermilion, AB",Lakeland College,None
Sr. Scrum Master (Data Science & Data Engineering),"Oakville, ON",Prodigy Game,None
Big Data Engineer,"Montréal, QC",IBM,None
Senior Meter Data Analyst,"Mississauga, ON",Rodan Energy Solutions Inc.,None
