Title,Location,Company,Salary
"Data Scientist, People Analytics","Toronto, ON",Restaurant Brands International,None
Data Scientist,"Montréal, QC",Stradigi AI,None
Machine Learning Developer (English Services),Canada,CBC/Radio-Canada,None
"Deals, Data Analytics Generalist, Associate","Toronto, ON",PwC,None
Senior Data Analyst,"Toronto, ON",RBC,None
Senior Data Scientist,"Toronto, ON",BMO Financial Group,None
Business Intelligence Data Developer,"Burnaby, BC",PHSA,$39.67 an hour
Data Scientist - Ocean & the Environment,"Dartmouth, NS",Global Spatial Technology Solutions Inc.,None
Data Scientist Technical Lead (Toronto),"Toronto, ON",Intact,None
Data Scientist,"Toronto, ON",Torstar,None
Machine Learning Architect,"Calgary, AB",Qube Technologies Inc,None
Deep Learning Engineer,"Vancouver, BC",Picovoice Inc,None
Data Scientist,None,TalentSphere Staffing Solutions,None
Senior Data Scientist - QuantumBlack,"Montréal, QC",McKinsey & Company,None
Big Data Engineer (Flexible Work),Ontario,Centro,None
Data Science Intern,"Toronto, ON",AOMS Technologies Inc.,None
Machine Learning Engineer (Wireless),"Burnaby, BC",Bluvec Technoligies Inc.,"$70,000 - $120,000 a year"
Data Scientist,"Vancouver, BC",Asana,None
Machine Learning Engineering Specialist 3165846,"Montréal, QC",Morgan Stanley,None
Data Scientist / Engineer,"Toronto, ON","LotusFlare, Inc.",None
Consultant-- Statistician,"Kirkland, QC",IQVIA,None
Senior Machine Learning Engineer,"Vancouver, BC",Workday,None
Stagiaire en recherche – compréhension du langage naturel /...,"Montréal, QC",Microsoft,None
"Consultant/Senior Consultant, Information, Data and Analytic...","Toronto, ON",KPMG,None
Data Scientist,"Toronto, ON",Altus Group,None
Machine Learning Developer,"Edmonton, AB",Tetra Tech,None
Software Engineer in Algorithms & Optimization for Data Anal...,"Waterloo, ON",Tangam Systems,"$80,000 - $115,000 a year"
"Senior Actuarial Manager, Data Science","Montréal, QC",Aviva,None
Data Scientist,"Burnaby, BC",Awakedata,None
Sr Business Data Analyst,"Etobicoke, ON",Moneris Solutions Corporation,None
Azure Analytics Data Engineer,"Vancouver, BC",ProCogia,"$83,522 - $147,388 a year"
Senior Applied Research Scientist,None,ZeroKey,"$100,000 - $125,000 a year"
"Data Scientist, Solar & Storage (Remote)",None,Power Factors,None
Senior Data Scientist,"National Capital Region, ON",Infinity Technology,None
Senior Data Analyst,"Kelowna, BC",The Valens Company Inc,None
