Company,Location,Title,Salary
MSi Corp (Bell Canada,Montréal QC,Data Scientist,36400
Agriculture Financial Services Corporation,Lacombe AB,Data Science - Summer Student,50211
Government of Canada,Montréal QC,Data Scientist Intern,53040
Niricson Software Inc.,Vancouver BC,Jr. Machine Learning Engineer,55000
Robert Half,None,Data Scientist,70000
Robert Half,None,Data Scientist,70000
Robert Half,None,Data Scientist,70000
Juno College,Toronto ON,Data Science Instructor,77500
City of Regina,Regina SK,Business Intelligence Administrator,85072
VINN,Victoria BC,Data Scientist,90000
Centennial College,Scarborough ON,Senior Analyst Data Visualization and Analytics,92154
Centennial College,Scarborough ON,Senior Analyst Data Visualization and Analytics,92154
agileDSS,Montréal QC,Analyste d'affaires BI / Business Analyst BI,95000
Bluvec Technoligies Inc.,Burnaby BC,Machine Learning Engineer (Wireless,95000
Staffinity Inc.,None,Data Scientist/Machine Learning Engineer,100000
Staffinity Inc.,None,Data Scientist/Machine Learning Engineer,100000
Staffinity Inc.,None,Data Scientist/Machine Learning Engineer,100000
Staffinity Inc.,None,Data Scientist/Machine Learning Engineer,100000
Power Career Education and Technology Inc.,None,Career Coaching Mentor - Business/UI/UX Design/Education/Dat...,105040
Power Career Education and Technology Inc.,None,Career Coaching Mentor - Business/UI/UX Design/Education/Dat...,105040
Samiti Technology,Toronto ON,Data Analytical Scientist,114400
StockholmSyndrome.AI,Montréal QC,Programmeuse apprentissage automatique (ML - Machine Learni...,157040
Power Factors,None,"Data Scientist, Solar & Storage (Remote)",86956
Business Development Bank of Canada,None,DATA SCIENTIST,86956
Bell Canada,None,"Data Scientist, Future Opportunity",86956
CIBC,"Toronto, ON",Data Scientist,86956
Canadian National Railway,None,Data Scientist,86956
SimpTek Technologies,Nova Scotia,Student Data Scientist,86956
SkipTheDishes,"Calgary, AB",Data Scientist,86956
Arista Networks,"Toronto, ON",Data Scientist,86956
Rock FOC Technology,"Windsor, ON",Data Scientist,86956
Ernst & Young,"Halifax, NS",Manager Data Analytics,86956
Innovyze,Remote,Principal Data Scientist,86956
Two Hat,"Kelowna, BC",Data Scientist,86956
Randstad,None,Data Scientist - Montréal,86956
BMO Financial Group,"Toronto, ON",Controls Machine Learning/AI Data Scientist,86956
University of Reading,Ontario,Data Scientist - KTP Associate,86956
Scotiabank,"Toronto, ON","Data Scientist, Marketing Services",86956
BRP,"Montréal, QC",Data Scientist,86956
SickKids,"Toronto, ON",Data Scientist/Bioinformatician,86956
Microsoft,"Vancouver, BC",Data & Applied Scientist II,86956
Microsoft,"Vancouver, BC",Data Scientist,86956
Vancity,"Vancouver, BC",Data Scientist and Analyst Consultant,86956
Belcan,None,Data Scientist,86956
Trader Corporation,"Toronto, ON",Data Scientist,86956
METRIO,"Montréal, QC",Data Scientist,86956
BMO Financial Group,"Toronto, ON",Data Scientist,86956
Pivotree,"Kanata, ON",Jr. Data Scientist,86956
BMO Financial Group,"Toronto, ON",Data Scientist,86956
The Chapman Group,"Fredericton, NB",Data Analyst,86956
Jumio Corporation,"Montréal, QC",Data Scientist - Machine Learning,86956
Square,"Toronto, ON","Data Scientist, Account Management Automation",86956
Slalom Consulting,"Toronto, ON",Data & Analytics Leader,86956
Grant Thornton,"Toronto, ON",Data Scientist,86956
Nakisa,"Montréal, QC",Data Scientist,86956
Overbond,"Toronto, ON",Junior Data Scientist,86956
Nuvoola,"Chambly, QC",Data Scientist,86956
TELUS,Canada,"Manager, Advanced Analytics & Data Products | TELUS Digital",86956
Vessi,"Vancouver, BC",Junior Data Scientist,86956
OSL Retail Services Inc,"Mississauga, ON",Data Scientist,86956
Shift Technology,"Toronto, ON",Data Scientist - Canada,86956
Loblaw Companies Limited,"Brampton, ON",Senior Data Scientist,86956
OSL Retail Services Inc,"Mississauga, ON",Data Scientist,86956
Scotiabank,"Toronto, ON",Data Scientist,86956
The Mosaic Company,"Regina, SK",Data Scientist,86956
Axiom Zen,"Vancouver, BC",Senior Data Scientist,86956
WTS Paradigm,"Montréal, QC",Data/AI Scientist - Spécialiste données et intelligence arti...,86956
Lightspark,"Vancouver, BC",Data Scientist,86956
Hach,"Vancouver, BC",Aquatic Informatics - Sr. Data Scientist,86956
Awakedata,"Burnaby, BC",Data Scientist,86956
Bell Canada,"Don Mills, ON",Data Scientist,86956
Nuvoola,"Chambly, QC",Data Scientist,86956
Guestlogix,Remote,Data Scientist,86956
PHSA,"Vancouver, BC","Data Scientist, Data, Analytics, Evaluation and Reporting (D...",86956
SMART Technologies,"Calgary, AB",Data Engineer,86956
Belcan,None,Data Scientist,86956
Zesty.ai,"Montréal, QC",Data Scientist (Machine Learning),86956
TextNow,Canada,"Senior Data Scientist, Product Analytics",86956
Paper,"Montréal, QC",Data Scientist,86956
Yelp,"Toronto, ON",Applied Scientist - Trust and Safety (Remote),86956
Lightspark,"Vancouver, BC",Data Scientist,86956
"AMZN CAN Fulfillment Svcs, ULC","Vancouver, BC",Data Scientist II,86956
WTS Paradigm,"Montréal, QC",Data/AI Scientist - Spécialiste données et intelligence arti...,86956
MightyHive,"Toronto, ON",Intern - Data Science,86956
Fiddlehead,"Moncton, NB",Data Scientist,86956
Service Experts,"Mississauga, ON","Data Strategy - Operations Analyst (6 month contract, possib...",86956
Antuit.ai,"Toronto, ON",Lead Data Scientist,86956
Transit App,"Montréal, QC",Data Scientist,86956
Arteria AI,"Toronto, ON",NLP Data Scientist,86956
Avanade,"Calgary, AB",Data AI Territory Industry Offering Lead Western Canada,86956
Hopper,Canada,Senior Data Scientist,86956
Belcan,None,Data Scientist,86956
Auvik Networks,Ontario,Data Scientist,86956
Best Buy,Canada,Senior Applied Data Scientist,86956
Tangerine Bank,"North York, ON",Data Scientist - Tangerine,86956
Fortinet,"Burnaby, BC",Data Science Developer,86956
MightyHive,"Toronto, ON",Intern - Data Science,86956
Zesty.ai,"Montréal, QC",Data Scientist (Machine Learning),86956
PointClickCare,Remote,Senior Data Analyst,86956
PepsiCo,"Mississauga, ON",Snr. Manager Advanced Analytics,86956
360insights,"Moncton, NB",Data Analyst,86956
Thoughtexchange,Canada,Machine Learning Engineer,86956
ArcelorMittal,"Concord, ON",Data Analytics Specialist,86956
Neon,"Vancouver, BC",Data Scientist,86956
Metro Supply Chain Group,None,Business Intelligence Analyst,86956
Service Experts,"Toronto, ON",Data Strategy - Operations Analyst (6 month contract),86956
Bentley Systems,"Quebec City, QC",Applied AI Scientist II,86956
Rogers Communications,"Toronto, ON","Senior Data Scientist, Customer Data",86956
Bell Canada,"Mississauga, ON","Developer, Data Science",86956
Manifest Climate,"Toronto, ON",Data Scientist,86956
Rogers Communications,"Toronto, ON","Senior Data Scientist, Customer Data",86956
TELUS,Canada,BI Analyst,86956
TextNow,Canada,"Senior Data Scientist, Product Analytics",86956
Egg Farmers of Canada,"Ottawa, ON",Data Analytics Specialist,86956
Kent Building Supplies,"Saint John, NB","Team Leader, Data Analytics",86956
Aviva,"Markham, ON",Property & Specialty Claims Risk Data Analyst,86956
Service Experts,"Mississauga, ON","Data Strategy - Operations Analyst (6 month contract, possib...",86956
KPMG,"Montréal, QC","Senior Data Scientist, KPMG Lighthouse",86956
Fortinet,"Burnaby, BC",Data Science Developer,86956
Pelmorex Corp,"Toronto, ON",Data Scientist,86956
Canadian National Railway,None,Data Scientist,86956
Power Factors,None,"Data Scientist, Solar & Storage (Remote)",86956
Bell Canada,None,"Data Scientist, Future Opportunity",86956
Business Development Bank of Canada,None,DATA SCIENTIST,86956
Digital Extremes,"London, ON","Data Scientist: Pricing, Fraud, Monetization",86956
Razorfish,"Toronto, ON",Senior Associate Data Science & Analytics,86956
Jumio Corporation,"Montréal, QC",Data Scientist - Machine Learning,86956
Prodigy Game,None,"Data Science Manager, Memberships Modelling",86956
Blockthrough,"Toronto, ON",Director of Data Science,86956
Aviva,"Montréal, QC",Data Scientist - Telematics,86956
Qube Technologies Inc,"Calgary, AB",Machine Learning Architect,86956
Metro Supply Chain Group,None,Business Intelligence Analyst,86956
fgf brands,"Greater Toronto Area, ON",Data Scientist,86956
Coursera,"Toronto, ON","Senior Data Scientist, Decision Science",86956
SOTI Inc.,"Mississauga, ON",Senior Data Scientist,86956
Ubisoft,"Montréal, QC","Manager, Data Science, Audience Science",86956
BrainStation,"Vancouver, BC","Associate Educator, Data Scientist",86956
CXsphere,"Mississauga, ON",Machine learning,86956
ArcelorMittal,"Concord, ON",Data Analytics Specialist,86956
Praemo,"Kitchener, ON",Data Scientist,86956
Scotiabank,"Toronto, ON","Manager, AML/ATF Models & Analytics",86956
Brookfield Asset Management,"Toronto, ON",Data Analyst,86956
O2E Brands,"Vancouver, BC",Senior Data Analyst - O2E Brands,86956
Electronic Arts,"Vancouver, BC",Senior Data Scientist - EA SPORTS Security,86956
Intact,"Toronto, ON",Data Scientist Technical Lead (Toronto),86956
Wysdom.AI,"Richmond Hill, ON",Data Scientist,86956
Chi Square Economics,"Toronto, ON","HEAD OF ECONOMIC CONSULTING AND DATA SCIENCE – TORONTO, CANA...",86956
Prodigy Game,None,"Data Scientist, Marketing & Web Analytics",86956
Cerebri AI,"Toronto, ON",Data Scientist,86956
Belcan,None,Data Scientist,86956
Avanade,"Calgary, AB",Data AI Territory Industry Offering Lead Western Canada,86956
Prodigy Game,None,"Data Scientist, Marketing & Web Analytics",86956
Aviva,"Markham, ON",Manager Product Management – Data Science,86956
Xero,"Toronto, ON",Senior Applied Scientist - Machine Learning Products,86956
Opta Information Intelligence Corp.,"Markham, ON",Machine Learning Engineer,86956
The Boiler Inspection and Insurance Company of Can...,"Toronto, ON","Director, Data Strategy and Analytics",86956
Aviva,"Markham, ON","Manager, Data Science",86956
Square,"Toronto, ON","Machine Learning Engineer - Modeler, Risk",86956
CXsphere,"Mississauga, ON",Machine learning,86956
Ontario Energy Board,"Toronto, ON",Analyst - Performance Analytics & Reporting,86956
CBC/Radio-Canada,Canada,Machine Learning Developer (English Services),86956
Metro Supply Chain Group,None,Business Intelligence Analyst,86956
Stradigi AI,"Montréal, QC",Data Scientist,86956
Rogers Communications,"Toronto, ON",Sr. Analyst WF Data Science,86956
