Title,Location,Company,Salary
Junior Data Analyst,None,Kobold Corporation,None
Technical Business Analyst,None,Indeed,"$80,000 - $106,000 a year"
Data Visualization Analyst (Developer),None,Suncor Energy Services,None
Data Analyst,None,BioScript Solutions,None
Data Analyst/Administrative Assistant,None,Dealer Media,"$50,000 - $65,000 a year"
ANALYST DATA ENGINEERING,None,Allstate Canada,None
Policy and Data Analyst - Careers for Persons with Disabilit...,Canada,Public Service Commission of Canada,"$54,746 - $100,492 a year"
Data Analyst,"Aurora, ON",Blakely Inc.,None
Business and Data Analyst,None,Bizxcel Inc.,"$60,000 - $80,000 a year"
Data Analyst,"London, ON",Thames Valley Family Health Team,$25.70 an hour
Data Analyst,"Richmond, BC",ZE Power Group,None
Specialist Business Data Analyst (Montreal),"Quebec City, QC",Air Liquide,None
"Analyst, Data & Research","Calgary, AB",avenue living,None
Data Analyst,"Edmonton, AB",TrustBIX Inc.,"$43,506 - $90,000 a year"
Snr Data Analyst – PepsiCo Global Template (until Sept 2021),"Fort McMurray, AB",PepsiCo,None
Data Centre Analyst,"Calgary, AB",BGIS,None
Data Analyst,"Toronto, ON",Toronto Transit Commission,"$59,678 - $74,529 a year"
Snr Data Analyst – PepsiCo Global Template (until Sept 2021),"Fort McMurray, AB",PepsiCo,None
Public Health Contact Centre - Data and Statistical Analyst,"Winnipeg, MB",Shared Health,$31.67 - $41.94 an hour
Data Analyst,"Niagara, ON",Niagara Region,"$69,440 - $81,690 a year"
Data Analyst Assistant,"Montréal, QC",Ubisoft,None
Client Tech Analyst I,"London, ON",CDK Global,None
Strategic Analyst - Part-Time,"Calgary, AB",City of Calgary,$42.06 - $56.23 an hour
Data Visualization and Business Intelligence Trainer,Remote,StoryIQ,None
Senior Analyst,Canada,Alberta Health Services,None
Specialist Business Data Analyst (Montreal),"Quebec City, QC",Air Liquide,None
Data Analyst,"Calgary, AB",Baker Hughes,None
"analyst, investments","Corner Brook, NL",NORTHERN LIGHTS SEAFOOD INC.,$26 an hour
Business Analyst,None,DealerCorp Solutions,None
Data Analyst,"Oakville, ON",Pethealth Inc.,None
Data Analyst Intern,"Toronto, ON",SnapTravel,None
Data Analyst,"Calgary, AB",ROSEN Group,None
Data Quality Analyst,"Halifax, NS",Mitsubishi UFJ Fund Services,None
Workforce Scheduling Analyst,"Guilford, ON",ICBC,None
