Title,Location,Company,Salary
Technical Business Analyst,None,Indeed,"$80,000 - $106,000 a year"
Sr. Business Analyst - Healthcare,None,RE Partners,"$75,000 a year"
Data Visualization Analyst (Developer),None,Suncor Energy Services,None
Technical Data Analyst,None,Sun Life Financial,None
Data Analyst,None,TECHSUPPORT.CA CORP,"$45,000 - $55,000 a year"
Data Analyst/Engineer,None,TELUS,$75 - $80 an hour
Data Analyst,"Oakville, ON",Wiley,None
Data Scientist/Analyst – Summer Placement,"Calgary, AB",Grey Owl Engineering,None
Business and Data Analyst,None,Bizxcel Inc.,"$60,000 - $80,000 a year"
ANALYST DATA ENGINEERING,None,Allstate Canada,None
Business Analyst - Represent TELUS,None,TELUS,"$50,000 - $55,000 a year"
Data Analyst,"Toronto, ON",Uken Games,None
Junior Data Analyst - Summer Student,"Calgary, AB",Kobold Corporation,$20 an hour
"Summer Student, Data Analyst","Calgary, AB",Alberta Energy Regulator,None
Data Analyst,"Ottawa, ON",Zafin,None
Analyste de données - Data Analyst,"Montréal, QC",StockholmSyndrome.AI,"$70,000 - $85,000 a year"
Data science analyst,"Brampton, ON",Loblaw Companies Limited,None
Data Analyst,"Vancouver, BC",MacroHealth,None
Data Analyst,"Mississauga, ON",Freshline Foods Ltd.,"$45,000 a year"
Staff Data Analyst,"Halifax, NS",EY,None
Data Visualization and Business Intelligence Trainer,Remote,StoryIQ,None
Policy and Data Analyst - Careers for Persons with Disabilit...,Canada,Public Service Commission of Canada,"$54,746 - $100,492 a year"
Game Data Analyst,Remote,Eastside Games,None
Data Analyst – Minerals Division,"Thunder Bay, ON",Activation Laboratories Ltd,None
Data Analyst,"Niagara, ON",Niagara Region,"$69,440 - $81,690 a year"
Workforce Scheduling Analyst,"Guilford, ON",ICBC,None
Data and Analytics Quantitative Analyst,"Montréal, QC",Morgan Stanley,None
Customer Data Collection Analyst,"Brampton, ON",Loblaw Companies Limited,None
Data Analyst,"London, ON",Thames Valley Family Health Team,$25.70 an hour
Data Analyst,"Toronto, ON",Talent Department,"$65,000 a year"
Data Analyst,"Toronto, ON",Adeptmind,"$45,000 - $50,000 a year"
Business Data Analyst,"Toronto, ON",Marsh and McLennan,None
Emissions Analyst,"Calgary, AB",Highwood Emissions Management Inc.,None
Junior Data Analyst - Relational/SQL Data Bases,"Waterloo, ON",GHD,None
People Analyst,"Oakville, ON",Geotab,None
Data Insights Analyst - Intern,"Toronto, ON",eBay Inc.,None
Data Analyst,"Toronto, ON",Sryas,None
Senior Analyst,Canada,Alberta Health Services,None
Data Analyst,"Richmond, BC",ZE Power Group,None
Data Reporting Analyst - Microstrategy,None,Robert Half,None
Senior Business & Data Analyst,"Calgary, AB",Hexagon,None
Data Analyst,"Montréal, QC",Medavie Blue Cross,None
"Analyst, Digital Sales Strategy","Toronto, ON",Scotiabank,None
"Analyst, Actuarial analysis and statistics","Lévis, QC",Desjardins,None
Data Analyst,None,Robert Half,$35 - $38 an hour
Business Analyst (Data Analysis & Healthcare Payer),"Halifax, NS",NTT DATA Services,$29 - $36 an hour
Senior Data Analyst,British Columbia,Shogun.,None
Sr. Data Analyst/Developer,"Brampton, ON",Rogers Communications,None
Data Analyst,"Toronto, ON",Giftagram,"$60,000 - $80,000 a year"
OPERATIONS REPORTING ANALYST,None,Allstate Canada,None
Data Analyst/Engineer,"Abbotsford, BC",Fraserway RV,None
Supply Management Analyst,"Calgary, AB",Canadian Natural,None
Data Quality Analyst,"Richmond Hill, ON",Mackenzie Health,None
Data Modeler with BI,"Toronto, ON",XF Technologies Inc.,"$85,000 - $110,000 a year"
Programmer Analyst (Java - Big Data),"Montréal, QC",Ubisoft,None
"Business Analyst – SQL, Data Mart","Toronto, ON",AstraNorth,None
"Analyst, Digital Sales Strategy","Toronto, ON",Scotiabank,None
Junior Data Analyst - Relational/SQL Data Bases,"Waterloo, ON",GHD,None
Data Visualization Specialist,None,David Aplin Group,"$80,000 - $90,000 a year"
Game Data Analyst,Remote,Eastside Games,None
Data Analyst,"Windsor, ON",City of Windsor,$23.71 - $27.87 an hour
Data Visualization Specialist,"Montréal, QC",Ubisoft,None
Business Analyst - Mobile App,None,Avenza,None
Junior Data Analyst - Relational/SQL Data Bases,"Waterloo, ON",GHD,None
Digital Analyst,"Aurora, ON",Blakely Inc.,None
Data Analyst,"Ancaster, ON",Activation Laboratories Ltd.,None
Data Analyst-Researcher,"Montréal, QC",LexisNexis Legal & Professional,None
Data Analyst,"Toronto, ON",Ainsworth,None
Senior Meter Data Analyst,"Mississauga, ON",Rodan Energy Solutions Inc.,None
Data Analyst,"Kelowna, BC",QHR Technologies Inc,None
Data Analyst,"Fredericton, NB",Day & Ross Inc.,None
Data Analyst (SQL/Python/AI),None,Client Of Emergitel,None
Pricing Analyst,"Mississauga, ON",Day & Ross Inc.,None
"Analyst, Data Management","Calgary, AB",Stantec,None
"Associate, Business Analyst","Toronto, ON",Capital One,None
Supply Management Analyst,"Calgary, AB",Canadian Natural,None
Data Analyst,"Halifax, NS",Ubisoft,None
Data Analyst,"Vancouver, BC",Microsoft,None
Data Analyst,"Toronto, ON",Oculus Info Inc,None
Senior Data and Business Intelligence Analyst,Ontario,Colliers International,None
PRICING & REPORTING ANALYST,"Saint John, NB",Chandler,None
Systems Analyst,"Toronto, ON",SickKids,None
Master Data Analyst - Winnipeg,"Winnipeg, MB",Textron Specialized Vehicles,None
Sr. IT Data Analyst,"Toronto, ON",TD Bank,None
Data Analyst,"Vancouver, BC",Joy Go International,$22 an hour
Senior Marketing Data Analyst,"Toronto, ON",Koho,None
