Title,Location,Company,Salary
Master Data Management - Business Analyst,None,Xena Technologies Inc.,$60 - $80 an hour
Data Analyst,None,AgencyAnalytics,"$70,000 a year"
Data Analyst,None,BioScript Solutions,None
Business and Data Analyst,None,Bizxcel Inc.,"$60,000 - $80,000 a year"
Data Analyst/Administrative Assistant,None,Dealer Media,"$50,000 - $65,000 a year"
"Analyst, Data Management","Calgary, AB",Stantec,None
Data Analyst (Research & Stat Officer 2),"Halifax, NS",Province of Nova Scotia,"$4,244 - $5,177 a month"
Junior Data Analyst (12 Months Temporary),"Calgary, AB",TransAlta,None
Data Centre Analyst,"Calgary, AB",BGIS,None
Analyst,"Calgary, AB",Alberta Health Services,None
Data Visualization Specialist,None,David Aplin Group,"$80,000 - $90,000 a year"
Data Analyst,"Calgary, AB",WestJet,None
Data Reporting Analyst - Microstrategy,None,Robert Half,None
Data Analyst & Zoho Administrator,"Vancouver, BC",Rise People Inc.,None
Data Analyst - 307006,None,Procom,None
"CO-OP, Analyst, Data Operations","Brampton, ON",Loblaw Companies Limited,None
Data Analyst,"Vancouver, BC",PHSA,None
Data Analyst,"Windsor, ON",United Way Windsor-Essex County,None
Technology Analyst (New Graduate),"Buchans, NL",Barite Mud Services Inc.,$20 - $25 an hour
Data Analyst - Business Intelligence,"Oakville, ON",EPCM,"$45,000 - $55,000 a year"
211 Data Analyst,"Riverside, ON",Inland Empire United Way,$22 an hour
Staff Data Analyst,"Halifax, NS",EY,None
Senior Data Analyst,Remote,Compute Canada,None
Data Analyst,"Calgary, AB",ROSEN Group,None
"analyst, social policies","Charlottetown, PE",Native Council of Prince Edward Island,$18 - $20 an hour
"Data Analyst, Product Management","Vaughan, ON",DKSY Consulting Inc.,None
Miramichi HR Systems and Data Analyst (N-B) PCN 1757179,"Miramichi, NB",Horizon Health Network,"$45,422 - $63,466 a year"
Supply Management Analyst,"Calgary, AB",Canadian Natural,None
Data Analyst,"Ottawa, ON",Hill+Knowlton Strategies,None
Research Data Analyst,"Toronto, ON","ETS Educational Testing Service Canada, Inc.","$95,000 a year"
Expense Analyst,"Stratford, ON",Schooley Mitchell,"$40,000 a year"
Senior Data Analyst,Remote,Compute Canada,None
Data Visualization and Business Intelligence Trainer,Remote,StoryIQ,None
Accounting/Reporting Analyst - Project Billing - REMOTE POSI...,"Halifax, NS",BGIS,None
Business Data Analyst,"Etobicoke, ON",Moneris Solutions Corporation,None
Data Analyst,"Ottawa, ON",Germain Hôtels,None
Business Analyst,"Calgary, AB",Alberta Health Services,None
Summer Student - Digital MDM Analyst (Junior),"Calgary, AB",Parkland Corporation,None
Data Solutions Analyst,"Windsor, ON",Rock FOC Technology,None
Works Coordinator - Data Analyst,"Burnaby, BC",Rogers Communications,None
Data Visualization Analyst (Developer),None,Suncor Energy Services,None
Expense Analyst,None,Schooley Mitchell,"$40,000 a year"
