Company,Location,Title,Salary
Charger Logistics Inc.,None,Data Scientist,76010
Léger,None,Data Scientist,76010
Relay Medical Corp.,None,Data Science / Machine Vision Intern,76010
TORONTO BUSINESS COLLEGE,None,Instructor: Artificial Intelligence & Data Science (Part-tim...,76010
Deloitte,"Toronto, ON",Data Science Specialist,76010
Skillz Inc.,"Vancouver, BC",Sr. Data Scientist,76010
Intact,"Quebec City, QC","Senior Data Scientist (Quebec City), Intact Lab",76010
FPInnovations,"Pointe-Claire, QC","Data Scientist, Big Data & Analytics",76010
Qube Technologies Inc,"Calgary, AB",Machine Learning Architect,76010
KPMG,"Toronto, ON","Data Scientist, Senior Manager - KPMG Lighthouse",76010
Millennium 1 Solutions - FR,None,Analyste de données en perspectives d’affaires / Business In...,76010
OGGN Inc.,Remote,Data Scientist (AI/ML),76010
IFS,"Ottawa, ON",Senior Data Scientist,76010
Igloo Software,"Kitchener, ON",Business Data Scientist,76010
Saskatchewan Polytechnic,"Saskatoon, SK",Artificial Intelligence and Data Analytics post graduate ins...,76010
Antuit,Remote,Senior AI / ML Scientist,76010
Brookfield Asset Management,"Toronto, ON",Data Analyst,76010
Cyber Chasse,Canada,Data Science,76010
Tally,"Vancouver, BC",Data Analyst,76010
Millennium 1 Solutions - FR,None,Analyste de données en perspectives d’affaires / Business In...,76010
Microsoft,"Vancouver, BC",Data Analyst,76010
Gartner,"Quebec City, QC","Principal, Data Science And Machine Learning Development",76010
Praemo,"Kitchener, ON",Data Scientist,76010
Empire Life,"Kingston, ON",Data Analyst,76010
Digital Extremes,"London, ON",Senior Data Scientist,76010
Microsoft,"Vancouver, BC",Senior Machine Learning Scientist,76010
Alberta Pensions Services,"Edmonton, AB",21-03 Analytics and Data Science Specialist,76010
"Thales Canada Inc., Research & Technology","Montréal, QC",Applied AI Scientist (Focus: Deep Learning and Computer Visi...,76010
Bell Canada,"Toronto, ON",NLP Specialist,76010
None,None,Business Intelligence and Analytics Developer,76010
Accedian Networks,"Ottawa, ON",Data Scientist,76010
University of Toronto,"Mississauga, ON",Sessional Lecturer - GGR276H5S Spatial Data Science I (Sci),76010
BDO,"Greater Toronto Area, ON",Senior Data Scientist,76010
Spocket,Remote,Machine Learning Engineer,76010
Yelp,Remote,Software Engineer - Big Data (Remote),76010
Bosch Group,"Waterloo, ON",Machine Learning for Scene Understanding – Intern,76010
McAfee,"Toronto, ON",Senior Data Scientist - Experimentation,76010
Lightspark,"Vancouver, BC",Data Scientist,76010
ChilliConnect,"Vancouver, BC","Machine Learning Intern (ML-Agents), AI@Unity",76010
"LotusFlare, Inc.","Toronto, ON",Data Scientist / Engineer,76010
Hopper,Canada,Data Analyst,76010
Ingrooves,"Victoria, BC",Data Scientist,76010
Onstream Pipeline Inspection Services Inc.,"Calgary, AB",Tethered Inspection Senior Data Analyst,76010
Visier Inc.,"Vancouver, BC",Data Scientist Co-op or Intern,76010
Jumio Corporation,"Montréal, QC",Machine Learning Engineer,76010
Nuance,None,Analyste de données - Senior - Data Analyst,76010
Xero,"Toronto, ON",Senior Applied Scientist - Machine Learning Products,76010
MightyHive,"Toronto, ON",Data Scientist,76010
CAE Inc.,"Saint-Laurent, QC",Ingénieur.e en apprentissage machine / Machine Learning Engi...,76010
Patriot One Technologies,"Toronto, ON",Lead Data Scientist,76010
Microsoft,"Vancouver, BC",Software Engineer (Machine Learning),76010
Service Experts,"Toronto, ON",Data Strategy - Operations Analyst (6 month contract),76010
Ontario Energy Board,"Toronto, ON",Summer Student - Performance Analytics & Reporting,76010
SoundHound Inc.,"Toronto, ON","Senior Machine Learning Scientist, Natural Language Processi...",76010
Loblaw Companies Limited,"Brampton, ON",Machine Learning Software Developer,76010
Critical Mass,"Calgary, AB",Marketing Science Analyst (Digital Analytics),76010
Bayshore HealthCare,"Markham, ON",Data Analyst,76010
Eastside Games,Remote,Game Data Analyst,76010
