Company,Location,Title,Salary
Rise People Inc.,"Vancouver, BC",Data Analyst & Zoho Administrator,64809
resulta,"Bedford, QC",Data Visualization Specialist,64809
Robert Half,None,Data Reporting Analyst - Microstrategy,64809
Rogers Communications,"Brampton, ON",Sr. Data Analyst/Developer,64809
General Motors,Ontario,Software Quality & Process Analyst,64809
Sprout Therapy,Quebec Province,Data Analyst - Remote,64809
TMX Group Limited,"Toronto, ON",Data Analyst,64809
Altus Group,"Toronto, ON","Technical Business Analyst, Data Lake",64809
AECOM,"Edmonton, AB",Data Analyst Intern,64809
HKJ Marketing,"Richmond, BC",Data Analyst,64809
Mad Science Group,"Montréal, QC",Inventory Analyst & Logistic Specialist,64809
Iversoft,Ontario,Business Analyst (remote),64809
Procom,None,"Data Entry Analyst, MS Excel - 308470",64809
Canadian Institute for Health Information,"Ottawa, ON","Analyst, Health Workforce Information",64809
Aviva,"Markham, ON",Senior Data Analyst,64809
SurveyMonkey,"Ottawa, ON",Data Product Analyst III,64809
Eastlink,"Halifax, NS",Data Analyst,64809
Bombardier,"Dorval, QC",Maintenance Programs & Planning Analyst,64809
Finning International Inc.,"Calgary, AB",Business Intelligence Analyst III,64809
Fraserway RV,"Abbotsford, BC",Data Analyst/Engineer,64809
Capital One,"Toronto, ON","Associate, Business Analyst",64809
HKJ Marketing,"Richmond, BC",Data Analyst,64809
Earth Rangers,"Woodbridge, ON",Data Analyst,64809
TD Bank,"Toronto, ON",Analyst III,64809
University of Waterloo,"Waterloo, ON",Data Analyst,64809
ZeniMax Media Inc.,"Montréal, QC",Spécialiste en Analyse des données / Data Analyst,64809
Lucova,"Toronto, ON",Data Analyst,64809
Microsoft,"Vancouver, BC",Data Analyst,64809
Citco Group Ltd.,"Halifax, NS",Operations Analyst,64809
Regina Qu'Appelle,"Regina, SK",Analyst,64809
Shogun,Ontario,Senior Data Analyst,64809
Humi,"Toronto, ON",Data Operations Analyst,64809
TELUS,Canada,BI Analyst,64809
Equitable Bank,"Toronto, ON","Senior Analyst, Enterprise Data Governance",64809
Western Financial Group,"Calgary, AB",Business Intelligence Analyst,64809
Société Générale,"Montréal, QC",Business Analyst (Record Mgmt),64809
Ameya Data Solution,"Mississauga, ON",Risk Analyst,64809
Perimeter Medical Imaging,"Toronto, ON",Associate Data Analyst,64809
Loblaw Companies Limited,"Brampton, ON",Business & Customer Insights Analyst,64809
