Title,Location,Company,Salary
Senior Product Data Scientist,"Toronto, ON",Coffee Meets Bagel,None
Data Scientist - Machine Learning,"Montréal, QC",Jumio Corporation,None
"Senior Data Scientist, KPMG Lighthouse","Montréal, QC",KPMG,None
Data Scientist,"Montréal, QC",Transit App,None
R&D Analyst - Image Processing and Machine Learning,"Baie-d'urfe, QC",MatrixSpec Solutions Inc.,"$60,000 - $80,000 a year"
Forward Deployed Data Scientist,"Toronto, ON",Perpetua Labs,None
Data Scientist,"Richmond Hill, ON",Wysdom.AI,None
"Applied Scientist, Alexa Smart Home","Vancouver, BC",Amazon Dev Centre Canada ULC,None
Data Scientist,"Toronto, ON",BMO Financial Group,None
Lead Data Scientist,"Toronto, ON",Peak Power,None
Data Scientist,"Montréal, QC",Maxa AI,None
Analytics Consultant,"Toronto, ON",Equifax,None
R&D Analyst - Image Processing and Machine Learning,None,MatrixSpec Solutions Inc.,"$60,000 - $80,000 a year"
Data Scientist,None,MaxSold,None
Data Scientist,None,Neelands,None
Data Scientist,None,Charger Logistics Inc.,None
Senior Data Scientist,None,Sun Life Financial,None
"Manager, Data Science, Intact Lab","Vancouver, BC",Intact,None
Machine Learning Engineer,"Vancouver, BC",Bio Conscious Technologies Inc,"$70,000 - $119,802 a year"
Sr. IT Data Analyst,"Mississauga, ON",TD Bank,None
"Senior Statistician, Provincial Blood Coordinating Office -...","Vancouver, BC",PHSA,None
Sr Data Analyst,"Vancouver, BC",Cymax Group,None
"Vice President, Data Science & Analytics","Toronto, ON",Cineplex,None
"Principal, Data Engineering & Analytics","Vancouver, BC",Trevali Mining Corporation,None
Senior AI / ML Scientist,Remote,Antuit,None
Data Analyst,"Vancouver, BC",Tally,None
"Senior Data Scientist, Decision Science","Toronto, ON",Coursera,None
Machine Learning Engineer,None,David Aplin Group,None
MACHINE LEARNING ENGINEER,"Vancouver, BC",PNI Digital Media,None
Azure Sr. Data Analyst,"Mississauga, ON",Ameya Cloud Solutions,None
Data Scientist Expert / Data Scientist Expert,"Montréal, QC",Groupe Neos,None
Data Science Intern,"Toronto, ON",AOMS Technologies Inc.,None
Data Analyst,"Burnaby, BC",Ballard Power Systems Inc.,None
Senior Data Analyst,Remote,PointClickCare,None
Data Engineer/Analyst - Active Safety & Autonomous Data Reco...,Ontario,General Motors,None
Data Scientist,"Montréal, QC",Services Conseils IntelliSoft inc.,None
Data Scientist,Ontario,Auvik Networks,None
Sr. Machine Learning Engineer,"Brampton, ON",Lone Wolf Technologies,None
Machine Learning Ops Engineer,"Montréal, QC",TandemLaunch,None
Senior Machine Learning Scientist,"Toronto, ON",Ada Inc.,None
Computer Vision and Deep Learning Scientist,"Toronto, ON",Industrial SkyWorks,None
"Mediabrands - Director, Advanced Analytics","Toronto, ON",IPG Mediabrands,None
"Manager, Data Science - Machine Learning TORONTO, ONSOFTWARE","Toronto, ON",Tonal,None
Analytics Manager,"National Capital Region, ON",Nasscom,None
"Advanced Analytics Leader, Global Advanced Analytics",None,AstraZeneca,None
"Machine Learning Intern, AI@Unity","Vancouver, BC",Unity Technologies,None
"Consultant/Senior Consultant, Information, Data and Analytic...","Toronto, ON",KPMG,None
Machine Learning Engineer/Data Scientist,"Toronto, ON",Crescendo Technology,None
Business Intelligence Data Developer,"Burnaby, BC",PHSA,$39.67 an hour
"Senior Manager, Data Science","Toronto, ON",Vanguard,None
Senior Associate - Data Science and Analytics - Implementati...,"Toronto, ON",Publicis Sapient,None
Pricing Analytics Sr Analyst,Ontario,Affirm,None
"Director, Product, Profile & Rev Analytics","Toronto, ON",Autodesk,None
MACHINE LEARNING ENGINEER,"Vancouver, BC",PNI Digital Media,None
Analyste,"Montréal, QC",BRP,None
Applied Scientist II,"Vancouver, BC",Amazon Dev Centre Canada ULC,None
"Mediabrands - Director, Advanced Analytics","Toronto, ON",IPG Mediabrands,None
"SAP - Data & AI Specialist, Omnia AI","Toronto, ON",Deloitte,None
"Regional Senior Data Analyst - 2 Year Term - (Prince George,...",Canada,First Nations Health Authority,None
Machine Learning Engineer,Canada,Thoughtexchange,None
"Technical Product Director, Data Analytics","Toronto, ON",Central 1 Credit Union,None
"Manager, Data Science","Markham, ON",Aviva,None
