Company,Location,Title,Salary
PHSA,Burnaby BC,Business Intelligence Data Developer,41256
Government of Canada,Montréal QC,Data Scientist Intern,53040
AutoMetrics Manufacturing Technologies Inc,Vancouver BC,Computer Vision Engineer - Machine learning,57200
Epic Story Interactive,Vancouver BC,Data Analyst,60000
Technology Smart Inc,None,Intermediate Machine Learning Engineer,80380
UBC Master of Data Science,None,Postdoctoral Fellow–UBC Master of Data Science program,85000
BluVec Technologies INC,Surrey BC,data scientist,95000
City of Calgary,Calgary AB,Research Data and Analytics Lead,97750
MaxSold,None,Data Scientist,71203
Charger Logistics Inc.,None,Data Scientist,71203
Sun Life Financial,None,Data Scientist,71203
Prodigy Game,None,"Data Scientist, Revenue & Modelling",71203
CGI,None,Data Scientist,71203
BC Public Service,"Victoria, BC",RES O 27R - Data Scientist AMENDED,71203
MEG Energy,Canada,Data Scientist - Contract Position,71203
TD Bank,"Toronto, ON",Data Scientist II,71203
Loblaw Companies Limited,"Brampton, ON",Data Scientist,71203
Twitter,"Toronto, ON",Data Scientist - Product Data Science,71203
Equifax,"Toronto, ON",Data Scientist - Innovation & Attributes,71203
CARSTAR Canada,None,Data Scientist,71203
Loblaw Digital,"Toronto, ON",Data Scientist,71203
Salesforce,"Vancouver, BC","Lead Applied Data Scientist, NLP - Tableau",71203
SkipTheDishes,"Calgary, AB",Data Scientist,71203
Two Hat,"Kelowna, BC",Data Scientist,71203
TELUS,"Calgary, AB",Data Scientist,71203
RBC,"Toronto, ON",Senior Data Scientist,71203
Neelands,"Burlington, ON",Data Scientist,71203
Pani Energy Inc,"Victoria, BC",Data Scientist,71203
Temetrix,"Ottawa, ON",DATA SCIENTIST,71203
Rock FOC Technology,"Windsor, ON",Data Scientist,71203
Lululemon,"Vancouver, BC",Senior Data Scientist,71203
Amazon Dev Centre Canada ULC,"Toronto, ON",Data Scientist,71203
"DUFF AND PHELPS, LLC","Toronto, ON","Senior Data Scientist, Artificial Intelligence Research",71203
Yelp,"Vancouver, BC",Applied Scientist (Remote),71203
Oracle,"Vancouver, BC",Senior Data Scientist,71203
Twitter,"Toronto, ON",Staff Data Scientist - Product,71203
Microsoft,"Vancouver, BC",Data & Applied Scientist II,71203
St. Michael's Hospital,"Toronto, ON",Data Analyst - Data Science & Advanced Analytics,71203
Antuit,Remote,Lead Data Scientist,71203
NorthOne,"Toronto, ON",Data Scientist,71203
Stantec,"Vancouver, BC",Major Projects Data Scientist,71203
Nuvoola,"Chambly, QC",Data Scientist,71203
Cisco Systems,"Vancouver, BC","Data Scientist, Product Metrics and A/B Testing",71203
Lightspark,"Vancouver, BC",Data Scientist,71203
SAQ - Société des Alcools du Québec,"Montréal, QC","Analyste, intelligence d’affaires (data scientist)",71203
Apply Digital,"Vancouver, BC",Data Scientist,71203
Launchtrip,"Vancouver, BC",A.I. / Data Scientist,71203
Scotiabank,"Toronto, ON",Senior Data Scientist,71203
Egg Farmers of Canada,"Ottawa, ON",Data Analytics Specialist,71203
National Bank of Canada,"Montréal, QC",Data Scientist IFRS9 Provisioning Models,71203
Aviva,"Markham, ON",Data Scientist,71203
OGGN Inc.,Remote,Data Scientist (AI/ML),71203
Cymax Stores,"Vancouver, BC",Sr Data Analyst,71203
Splunk,"Vancouver, BC",Applied Scientist- Remote BC or Ontario,71203
Accenture,"Ottawa, ON",Senior Data Scientist,71203
ProNavigator,"Kitchener, ON",Senior Data Scientist,71203
AltaML Inc.,"Calgary, AB",Associate Machine Learning Developer (Cohort 5),71203
KPMG,"Montréal, QC","Senior Data Scientist, KPMG Lighthouse",71203
Cisco Systems,"Vancouver, BC",Data Science/NLP Engineer,71203
Compute Canada,Remote,Senior Data Analyst,71203
Power Factors,Remote,"Data Scientist, Solar & Storage (Remote)",71203
Mosaic North America,"Toronto, ON","Scientist, Data",71203
Amazon Dev Centre Canada ULC,"Vancouver, BC","Applied Scientist, Alexa Smart Home",71203
BMO Financial Group,"Toronto, ON",Data Scientist,71203
Nuvoola,"Chambly, QC",Data Scientist,71203
thinkCOMPASS,"Concord, ON",Data Scientist,71203
Geotab,"Oakville, ON",Data Scientist,71203
Groom & Associes,"Montréal, QC",Data Scientist / Scientifique des données,71203
Axiom Zen,"Vancouver, BC",Senior Data Scientist,71203
TD Bank,"Mississauga, ON",Sr. IT Data Analyst,71203
Perpetua Labs,"Toronto, ON",Forward Deployed Data Scientist,71203
Huddle,"Moncton, NB",Data Scientist,71203
Uken Games,"Toronto, ON",Data Analyst,71203
Thinking Capital,"Ottawa, ON",Data Scientist,71203
CryptoKitties,"Vancouver, BC","Senior Data Engineer / Scientist (Fraud, AML)",71203
Lightspark,"Vancouver, BC",Data Scientist,71203
WGames Inc.,"Toronto, ON",Data Scientist,71203
Jumio Corporation,"Montréal, QC",Data Scientist - Machine Learning,71203
Mosaic North America,"Toronto, ON","Scientist, Data",71203
Amazon Dev Centre Canada ULC,"Vancouver, BC","Applied Scientist, Alexa Smart Home",71203
Summatti,"Kitchener, ON",Data Scientist,71203
YORKVILLE UNIVERSITY & TORONTO FILM SCHOOL,"North York, ON",Data Scientist,71203
American Express,"Toronto, ON",Data Analyst/Senior Data Analyst,71203
Innovyze,Remote,Principal Data Scientist,71203
Deepcell,"Mountain View, AB",Research Data Scientist,71203
Quartech Systems Ltd,"Vancouver, BC","Int-Sr Data Analyst - Contract, Vancouver",71203
BOEING,"Vancouver, BC",Senior Data Scientist,71203
AltaML Inc.,"Calgary, AB",Associate Machine Learning Developer (Cohort 5),71203
Prodigy Game,None,"Data Scientist, Revenue & Modelling",71203
MaxSold,None,Data Scientist,71203
Charger Logistics Inc.,None,Data Scientist,71203
Sun Life Financial,None,Data Scientist,71203
Rogers Communications,"Toronto, ON",Manager Data Analytics,71203
AltaML Inc.,"Calgary, AB",Machine Learning Team Lead,71203
Agropur,"Saint-Hubert, QC",Director Data & Analytics,71203
Scarsin,"Markham, ON",Data Scientist/Time Series,71203
Sonder,"Montréal, QC","Pricing Data Scientist | Data Scientist, Tarification",71203
Paper,"Montréal, QC",Data Scientist,71203
Vendasta,"Saskatoon, SK",Senior Data Analyst,71203
Bentley Systems,"Quebec City, QC",Applied AI Scientist II,71203
Cineplex,"Toronto, ON","Vice President, Data Science & Analytics",71203
Manulife,"Toronto, ON",Data Scientist,71203
Peak Power,"Toronto, ON",Lead Data Scientist,71203
Fiddlehead,"Moncton, NB",Data Scientist,71203
Amazon Dev Centre Canada ULC,"Toronto, ON",Senior Data Scientist,71203
Fortinet,"Burnaby, BC",Data Science Developer,71203
Deepcell,"Mountain View, AB",Head of Data Science / AI,71203
Agropur,"Saint-Hubert, QC",Director Data & Analytics,71203
MobSquad,"Calgary, AB",Data Scientist,71203
Antuit,Remote,Senior AI / ML Scientist,71203
Digital Extremes,"London, ON","Data Scientist: Pricing, Fraud, Monetization",71203
Deepcell,"Mountain View, AB",Head of Data Science / AI,71203
Zesty.ai,"Montréal, QC",Data Scientist (Machine Learning),71203
Microsoft,"Vancouver, BC",Data Analyst,71203
Munich RE,"Toronto, ON",Data Scientist / Senior Data Scientist - North American Inte...,71203
Yelp,"Toronto, ON",Data Science Manager - Marketplaces (Remote),71203
Coffee Meets Bagel,"Toronto, ON",Senior Product Data Scientist,71203
Cerebri AI,"Toronto, ON",Data Scientist,71203
Manifest Climate,"Toronto, ON",Data Analyst,71203
NETINT Technologies Inc.,"Burnaby, BC",Deep Learning Engineer,71203
Trader Corporation,"Toronto, ON","Master, Data Scientist",71203
Prodigy Game,None,"Data Scientist, Revenue & Modelling",71203
Sun Life Financial,None,Data Scientist,71203
Nextdoor,"Toronto, ON",Data Scientist - Member Experience,71203
Grant Thornton,"Toronto, ON",Data Scientist,71203
PokerStars,"Toronto, ON",Senior Data Analyst,71203
Cymax Stores,"Vancouver, BC",Sr Data Analyst,71203
CryptoKitties,"Vancouver, BC","Senior Data Engineer / Scientist (Fraud, AML)",71203
Shift Technology,"Toronto, ON",Data Scientist - Canada,71203
Rogers Communications,"Toronto, ON","Head of Data, Insights & Analytics",71203
PwC,"Toronto, ON",Analytics - Analytics Generalist - Senior Associate,71203
