Company,Location,Title,Salary
Bartech Canada,Oakville ON,marketing analyst,26000
Bartech Canada,Oakville ON,marketing analyst,26000
Thames Valley Family Health Team,London ON,Data Analyst,26728
St. Lawrence College,Kingston ON,Business Analyst - CRM,33612
St. Lawrence College,Kingston ON,Business Analyst - CRM,33612
Keyano College,Fort McMurray AB,Database Analyst,35949
Association pour la santé environnementale du Québ...,Montréal QC,Research Data Analyst,39520
Native Council of Prince Edward Island,Charlottetown PE,housing policy analyst,39520
Scott Street Medical Centre,St. Catharines ON,database analyst (DBA,40560
Next Step Trading Inc,Milton ON,systems analyst,41080
Sryas Inc.,Toronto ON,Data Analyst,42500
TECHSUPPORT.CA CORP,None,Data Analyst,50000
AppleOne,None,Senior Data Analyst,53650
Digitalembrace Inc.,Richmond Hill ON,Dynamics 365 Business Systems Analyst,70000
Digitalembrace Inc.,Richmond Hill ON,Dynamics 365 Business Systems Analyst,70000
City of Hamilton,Hamilton ON,Procurement Data Analyst,72321
CHEO,Ottawa ON,Data Analyst BORN Ontario Full-time (1.0 X2,72685
Vincent Investment Products Inc.,Unionville ON,securities research analyst,78000
McGill University,Montréal QC,BI Analyst,78920
Dean Group,None,Senior Data Management Analyst,81120
NL and Labrador Center for Health Info.,Newfoundland and Labrador,EMR Applications Analyst II,86112
agileDSS,Montréal QC,Analyste fonctionnel ETL / Data Analyst,95000
Government of Saskatchewan,Regina SK,Senior Research Analyst,96106
Dawn InfoTek Inc.,Toronto ON,Data Analyst (Spanish Speaking,109200
TELUS International Inc.,Edmonton AB,Data Analyst/Engineer,161200
Airswift,None,Data Analyst,165360
Cameco,None,"Analyst, Enterprise Data & Business Intelligence",66336
"Tyler Technologies, Inc.",None,Data Analyst,66336
Prodigy Game,None,"Senior Data Analyst, Parents",66336
Woodlands Head Office,"Saint John, NB",Data Analyst,66336
Accreon Inc.,"Fredericton, NB",Data Analyst,66336
Ubisoft,"Montréal, QC","Data Analyst, Subscription",66336
ABB,"Saint-Laurent, QC",Next Generation Summer Student Program 2021 - Data Analyst,66336
Ontario Health,"Toronto, ON",Data Analyst,66336
DRW Trading Group,"Montréal, QC",Data Analyst,66336
EllisDon Corporation,"Mississauga, ON",Data Analyst,66336
CGI Inc,"Toronto, ON",Alteryx / Tableau Data Analyst,66336
Bell Canada,"Toronto, ON","Data Analyst, New Products introduction",66336
DRW,"Montréal, QC",Data Analyst,66336
INTERIOR HEALTH AUTHORITY,"Kelowna, BC","DATA QUALITY ANALYST, HEALTH RECORDS CODING",66336
Kinesso,"Toronto, ON","Kinesso - Data Analyst, Advanced Analytics",66336
County of Lambton,"Point Edward, ON",Health Data Analyst Summer Student,66336
Abbvie,"Saint-Laurent, QC","Data Analyst, AbbVie Care",66336
Save-On-Foods,"Langley, BC","Data Analyst, Merchandising",66336
eBay Inc.,"Toronto, ON",Data Insights Analyst - Intern,66336
S M Software Solutions Inc,Remote,Business Analyst,66336
Mediagrif,"Longueuil, QC",Market and Data Analyst,66336
Max Advanced Brakes,"Markham, ON",Junior Data Analyst,66336
Infinity Technology,"National Capital Region, ON",Data Analyst,66336
Airswift,None,Senior Business Intelligence Analyst,66336
Trinity Western University,"Langley, BC",Junior Data Analyst,66336
The Bishop Strachan School,"Toronto, ON",Data Analyst,66336
eBay Inc.,"Toronto, ON",Data Insights Analyst - Intern,66336
S M Software Solutions Inc,Remote,Business Analyst,66336
Larsen & Toubro Infotech Limited,"Mississauga, ON",Business/Data Analyst,66336
WTS Paradigm,"Montréal, QC",Analyste de données/Data Analyst,66336
Louisiana-Pacific Corporation,"Fort St. John, BC",GIS Analyst,66336
Western Financial Group,"High River, AB",Insurance Pricing Analyst,66336
University of Toronto,"Toronto, ON",Data Management and Quality Analyst,66336
360insights,"Moncton, NB",Data Analyst,66336
MacroHealth,"Vancouver, BC",Data Analyst,66336
INTERIOR HEALTH AUTHORITY,"Kelowna, BC","DATA QUALITY ANALYST, HEALTH RECORDS CODING",66336
Big Viking Games,Ontario,Data Analyst,66336
JAM Direct,"Toronto, ON",Junior Business Analyst,66336
PNI Digital Media,"Vancouver, BC","DIGITAL DATA ANALYST, TABLEAU",66336
Scotiabank,"Toronto, ON",Business Analyst - Data Office,66336
Big Viking Games,Ontario,Data Analyst,66336
PointClickCare,Remote,Data Insights & Business Analyst,66336
Cyber Chasse,Canada,Data Analyst,66336
"Amazon.com.ca, Inc.","Vancouver, BC",Business Intelligence Engineer,66336
Visier Inc.,"Vancouver, BC",Business Intelligence Analyst,66336
Yelp,"Toronto, ON","Business Systems Analyst, Workday (Remote)",66336
RCGT Consulting,"Ottawa, ON",Data Warehouse Analyst,66336
TELUS,Canada,Data Governance Analyst,66336
Square Enix Montréal,"Montréal, QC",Analyste de données / Data Analyst,66336
Rise People Inc.,"Vancouver, BC",Data Analyst & Zoho Administrator,66336
Medical Council of Canada,"Ottawa, ON",Statistical Analyst,66336
Enbridge,"Edmonton, AB",Data & Analytics Sr Analyst - Safety,66336
Healthcare of Ontario Pension Plan (HOOPP),"Toronto, ON",Business Data Analyst,66336
Eastside Games,Remote,Game Data Analyst,66336
Cummins Inc.,"Mississauga, ON",Fuel Cell Data Engineer / Analyst,66336
Earth Rangers,"Woodbridge, ON",Data Analyst,66336
Wiley,"Oakville, ON",Data Analyst,66336
Sinclair Dental Co Ltd,"Mississauga, ON",Data Analyst,66336
Bell Canada,"Don Mills, ON","Analyst, Business Intelligence",66336
Rogers Communications,"Toronto, ON","Senior Analyst- Data Analytics, Connected Home Performance",66336
Zero11,"Abbotsford, BC",Data Warehouse Analyst,66336
KABS,"Saint-Hubert, QC",Analyste - Calculs et entrée de données / Analyst-Calculatio...,66336
Canadian Tire,"Toronto, ON",Extended Aisle Analyst,66336
Alberta Health Services,"Calgary, AB",IT Analyst II - ETL Developer,66336
Wunderman Thompson,"Toronto, ON",Business Analyst,66336
Canadian Institute for Health Information,"Ottawa, ON","Analyst, Health Workforce Information",66336
TrackTik,Quebec Province,Software QA Analyst,66336
Bold Commerce,"Calgary, AB",Senior Data Analyst,66336
The Miller Group,"Aurora, ON",Business Analyst Student - (Summer 2021 - 4 Months),66336
Rise People Inc.,"Vancouver, BC",Data Analyst & Zoho Administrator,66336
Soho Square Solutions,"Quebec City, QC",Data Analyst - French Must,66336
Sun Life Financial,"Waterloo, ON",Project Information Analyst,66336
Midland Transport,"Dieppe, NB",Business Analyst,66336
Procom,None,Data/Product Analyst - 308091,66336
CGI Inc,"Halifax, NS",Technical Analyst,66336
BMO Financial Group,"Toronto, ON","Senior Data Analyst, Robotics, Reporting and Automation Solu...",66336
Thinkific,"Vancouver, BC","Data Analyst, Customer Success",66336
Computershare,"Toronto, ON",Business Analyst,66336
Fiera Capital,"Montréal, QC","Data Analyst, Global Distribution Support",66336
CGI Inc,"Montréal, QC",ETL (SSIS) Analyst,66336
Evercore,"Montréal, QC",Data Analyst,66336
BC Public Service,"Victoria, BC",FO 24R - Business Analyst,66336
3M,"Morden, MB",Supply Chain Analyst,66336
OAK+FORT,"Vancouver, BC",Allocations Analyst,66336
ZeniMax Media Inc.,"Montréal, QC",Spécialiste en Analyse des données / Data Analyst,66336
Loblaw Companies Limited,"Brampton, ON",Sr. Business Analyst (Workday Performance & Talent),66336
Electrical Safety Authority,"Mississauga, ON",Data Analyst,66336
Canadian Tire,"Calgary, AB",Systems Support Analyst,66336
BC Public Service,"Victoria, BC",FO 24R - Business Analyst,66336
CGI Inc,"Montréal, QC",BI Analyst,66336
O2E Brands,"Vancouver, BC",Senior Data Analyst - O2E Brands,66336
Coast Capital Savings Federal Credit Union,"Vancouver, BC",Data Quality Analyst-Remote,66336
Healthcare of Ontario Pension Plan (HOOPP),"Toronto, ON","Investment Analyst, Credit",66336
Cubert Inc.,"Toronto, ON",Data Analyst,66336
StandardAero,"Winnipeg, MB",Business System Analyst,66336
Stantec,"Iqaluit, NU",BI Developer,66336
Irving Oil,"Saint John, NB",Senior Business Analyst,66336
Earl's Holdings Ltd.,"Vancouver, BC",Data Support Analyst,66336
Rodan Energy Solutions Inc.,"Mississauga, ON",Senior Meter Data Analyst,66336
Providence Health Care,"Vancouver, BC",Registration Business Analyst,66336
University of Waterloo,"Waterloo, ON",Data Analyst,66336
CTDI,"Oakville, ON",Data Analyst,66336
Traffic Tech Inc.,"Kirkland, QC",Business Intelligence Analyst,66336
SurveyMonkey,"Ottawa, ON",Data Product Analyst III,66336
IFS,"Ottawa, ON",Solution Data Migration Analyst,66336
General Motors,Ontario,Software Quality & Process Analyst,66336
Moneris Solutions Corporation,"Etobicoke, ON",Business Data Analyst,66336
LexisNexis Legal & Professional,"Montréal, QC",Data Analyst-Researcher,66336
OSL Retail Services Inc,"Mississauga, ON",Business Intelligence Analyst,66336
Evercore,"Montréal, QC",Data Analyst,66336
Jumio Corporation,"Montréal, QC",Senior Data Analyst - JTM,66336
Trilliant,"Concord, ON",Data Analyst,66336
BGIS,"Edmonton, AB","Summer Intern - Business Analyst, Strategic Information Mana...",66336
PHSA,"Burnaby, BC",Business Intelligence Analyst,66336
Canada Life Assurance Company,"London, ON",Sr. Business Systems Analyst,66336
OSCO Construction Group,"Saint John, NB",Business Analyst (Business Solutions),66336
Extendicare,"Markham, ON","SENIOR ANALYST, DATA TEAM",66336
BRP,"Valcourt, QC","Business Intelligence, Data Analytics & Insights",66336
CGI,"Saguenay, QC",Sr. BI Analyst,66336
Stantec,"Iqaluit, NU",BI Developer,66336
Velan Inc.,"Montréal, QC","Analyst, Procurement",66336
Teck Resources Limited,"Vancouver, BC","Business Analyst, Ore Body Knowledge (Contract) - RACE21",66336
Aviva,"Markham, ON",Senior Data Analyst,66336
