Company,Location,Title,Salary
ProCogia,Vancouver BC,Clinical Trial Data Science Consultant,25000
MSi Corp (Bell Canada,Montréal QC,Data Scientist,36400
PHSA,Burnaby BC,Business Intelligence Data Developer,41256
MSi Corp (Bell Canada,Ottawa ON,BI Developer,41600
Global Affairs Canada,Ottawa ON,Data Scientist/Data Analyst - Student,50939
Notik,Montréal QC,Data Analyst,57500
IDES CANADA INC,Whitchurch-Stouffville ON,Machine Learning Engineer/Data Scientist,65000
Robert Half,None,Data Scientist,70000
Juno College of Technology,Toronto ON,Data Science Instructor,77500
Lighthouse Labs,Vancouver BC,Remote PT Data Science Mentor,83200
Eastern Canada Consulting,Calgary AB,Big Data Consultant - Cloud Azure,85000
Mastech InfoTrellis,Ottawa ON,Data Scientist,88452
Innovation Credit Union,Canada,Data Scientist,92629
Bluvec Technoligies Inc.,Burnaby BC,Machine Learning Engineer (Wireless,95000
Robert Half,None,Machine Learning NLP Developer,95000
Robert Half,None,Machine Learning NLP Developer,95000
Canadian Security Intelligence Service,Ottawa ON,Data Scientist,105705
ZeroKey,None,Senior Applied Research Scientist,112500
ZeroKey,None,Senior Applied Research Scientist,112500
MaxSold,None,Senior Data Scientist,75272
Infostrux Solutions,"Quebec City, QC","Data Scientist, Remote",75272
Shift Technology,"Toronto, ON",Data Scientist - Canada,75272
University of Reading,Ontario,Data Scientist - KTP Associate,75272
None,None,Senior Applied Data Scientist,75272
Loblaw Companies Limited,"Brampton, ON",Data Scientist,75272
FORM,None,Data Scientist,75272
Dell Technologies,"Toronto, ON",Marketing Data Scientist (100% Remote),75272
Canadian National Railway,None,Data Scientist,75272
Scotiabank,"Toronto, ON",Data Scientist,75272
Sonova,"Kitchener, ON",Data Scientist,75272
Bell Canada,"Toronto, ON","Developer, Data Science",75272
TalentSphere Staffing Solutions,None,Data Scientist,75272
OMERS,"Toronto, ON",Data Scientist Co-op,75272
Nakisa,"Montréal, QC",Data Scientist,75272
IBM,"Calgary, AB",Machine Learning Developer Intern (4 months),75272
Integra Data & Analytic Solutions,"Calgary, AB",DATA SCIENTIST,75272
Maxa AI,"Montréal, QC",Data Scientist,75272
Air Liquide,"Montréal, QC",Data Science Associate - Montreal,75272
PointClickCare,Remote,Data Analyst,75272
Geotab,"Oakville, ON",Data Analyst,75272
Kinsol Research,British Columbia,Data Scientist,75272
Temetrix,"Ottawa, ON",DATA SCIENTIST,75272
Microsoft,"Vancouver, BC",Data Scientist,75272
Qool Media Holdings,"Venice, AB","Principal Data Scientist, Programmatic Bidding",75272
Peak Power,"Toronto, ON",Lead Data Scientist,75272
Fortinet,"Burnaby, BC",Data Science Developer,75272
agileDSS,Remote,Data Scientist / Scientifique des données,75272
Oracle,"Kitchener, ON",Data Scientist,75272
Nextdoor,"Toronto, ON",Data Scientist - Member Experience,75272
AltaML Inc./Janalta Interactive Inc.,"Calgary, AB",Associate Machine Learning Developer,75272
Koïos Intelligence,"Montréal, QC",Data scientist,75272
Zesty.ai,"Montréal, QC",Data Scientist (Machine Learning),75272
Groupe Neos,"Montréal, QC",Data Scientist Expert / Data Scientist Expert,75272
Prodigy Game,None,"Data Scientist, Sales & Customer Success",75272
AIR MILES,"Montréal, QC","Data Scientist, Co-Op",75272
Yelp,"Toronto, ON",Data Science Analyst (Remote),75272
Power Factors,Remote,"Data Scientist, Solar & Storage (Remote)",75272
METRIO,"Montréal, QC",Data Scientist,75272
Ubisoft,"Montréal, QC",Data Scientist Assistant – Business (6 month minimum),75272
Desjardins,"Montréal, QC","Analyst, Data Science",75272
Oxford Properties,"Toronto, ON",Data Scientist Co-op (Summer 2021 4-month Term),75272
RBC,"Toronto, ON","Data Scientist, Summer Student 2021 Opportunities",75272
Manifest Climate,"Toronto, ON",Data Scientist,75272
TalentSphere Staffing Solutions,None,Data Scientist,75272
Guestlogix,Remote,Data Scientist,75272
Betterfit,"Edmonton, AB",Backend Developer (Data Science),75272
McKinsey & Company,"Montréal, QC",Data Scientist - QuantumBlack,75272
Microsoft,"Montréal, QC",Scientifique des données et appliqué/ Data & Applied Scienti...,75272
Auvik Networks,Ontario,Data Scientist,75272
Prodigy Game,None,"Data Scientist, Sales & Customer Success",75272
Moneris Solutions Corporation,"Etobicoke, ON","Analyst II, Data Science",75272
SecurityScorecard,Ontario,Senior Data Scientist,75272
Tonal,"Toronto, ON","Senior Data Scientist, GANs TORONTO, ONSOFTWARE",75272
Pinterest,"Toronto, ON","Data Scientist, Shopping",75272
KPMG,"Montréal, QC","Senior Data Scientist, KPMG Lighthouse",75272
PwC,"Toronto, ON","Deals, Data Analytics Generalist, Senior Associate",75272
Trader Corporation,"Toronto, ON","Master, Data Scientist",75272
Auvik Networks,Ontario,Data Scientist,75272
Zesty.ai,"Montréal, QC",Data Scientist (Machine Learning),75272
Geotab,"Oakville, ON",Applied Data Scientist,75272
The Mosaic Company,"Regina, SK",Data Scientist,75272
RBC,Ontario,"Machine Learning Software Engineer, Summer 2021 Co-op Opport...",75272
TalentSphere Staffing Solutions,None,Data Scientist,75272
Huddle,"Moncton, NB",Data Scientist,75272
Transit App,"Montréal, QC",Data Scientist,75272
Microsoft,"Vancouver, BC",Senior Data & Applied Scientist,75272
Coursera,"Toronto, ON","Senior Data Scientist, Decision Science",75272
CUSTOMER EXPERIENCE/EXPRIÉNCE CLIENT,"Don Mills, ON","Product Manager, Data Science",75272
CGI,"Sherbrooke, QC",Data Scientist,75272
roomvu,"Vancouver, BC",Senior Data Scientist,75272
Instacart,"Toronto, ON",Senior Data Scientist,75272
Deepcell,"Mountain View, AB",Research Data Scientist,75272
Coursera,"Toronto, ON","Senior Data Scientist, Machine Learning",75272
Nestle,"Montréal, QC",Business Intelligence Intern,75272
Services Conseils IntelliSoft inc.,"Montréal, QC",Data Scientist,75272
Hach,"Vancouver, BC",Aquatic Informatics - Sr. Data Scientist,75272
Groom & Associes,"Montréal, QC",Machine Learning Engineer – International Pharmaceuticals co...,75272
MightyHive,"Toronto, ON",Intern - Data Science,75272
Deloitte,"Toronto, ON",Data Science Specialist,75272
Wawanesa,"Winnipeg, MB",Data Scientist I,75272
Avanade,"Calgary, AB",Data & AI Technical Architect-CoE,75272
BC IMC,"Victoria, BC",Senior Data Scientist,75272
Awakedata,"Burnaby, BC",Data Scientist,75272
Tucows,Ontario,Senior Data Analyst - Remote,75272
Hach,"Vancouver, BC",Data Science Co-op,75272
Microsoft,"Vancouver, BC",Senior Data Scientist,75272
Ingrooves,"Victoria, BC",Data Scientist,75272
Brain Finance,"Montréal, QC",Data Scientist,75272
Centro,Ontario,Big Data Engineer (Flexible Work),75272
The Valens Company Inc,"Kelowna, BC",Senior Data Analyst,75272
"Amazon.com.ca, Inc.","Vancouver, BC",Machine Learning Scientist,75272
Cerebri AI,"Toronto, ON",Data Scientist,75272
Vector Institute,"Toronto, ON",Applied Machine Learning Intern,75272
Praemo,"Kitchener, ON",Data Scientist,75272
McKinsey & Company,"Montréal, QC",Senior Data Scientist - QuantumBlack,75272
Brookfield Asset Management,"Toronto, ON",Data Analyst,75272
RBC,Ontario,"Machine Learning Software Engineer, Summer 2021 Co-op Opport...",75272
ASSURANCE,"Toronto, ON",Data Scientist,75272
Amazon Dev Centre Canada ULC,"Toronto, ON",Senior Data Scientist,75272
Altus Group,"Toronto, ON",Data Scientist,75272
ANSYS,"Vancouver, BC","Summer 2021 Intern - Electronics, Desktop Data Science (Remo...",75272
Overbond,"Toronto, ON",Director of Data Science,75272
Yelp,"Toronto, ON",Applied Scientist (Remote),75272
KPMG,"Montréal, QC","Data Analytics and Implementation Lead, KPMG Lighthouse",75272
Skillz Inc.,"Vancouver, BC",Sr. Data Scientist,75272
Chisel AI,"Toronto, ON",Machine Learning Scientist,75272
MightyHive,"Toronto, ON",Data Scientist,75272
None,None,Senior Applied Data Scientist,75272
Enterprise Solutions Inc,None,Data Analytics,75272
Splunk,"Vancouver, BC",Applied Scientist- Remote BC or Ontario,75272
Teck Resources Limited,"Vancouver, BC",Senior Data Scientist - RACE21,75272
AOMS Technologies Inc.,"Toronto, ON",Data Science Intern,75272
Scarsin,"Markham, ON",Data Scientist/Time Series,75272
fgf brands,"Greater Toronto Area, ON",Data Scientist,75272
Yelp,"Toronto, ON",Data Science Manager - Marketplaces (Remote),75272
Restaurant Brands International,"Toronto, ON","Data Scientist, People Analytics",75272
Deloitte,"Toronto, ON",Data Science Specialist,75272
Wawanesa,"Winnipeg, MB",Data Scientist I,75272
Belcan,None,Data Scientist,75272
autoTRADER.ca,None,Data Scientist,75272
MaxSold,None,Senior Data Scientist,75272
Temetrix,"Ottawa, ON",SENIOR DATA SCIENTIST,75272
ChilliConnect,"Vancouver, BC",Machine Learning Engineer Intern,75272
Tonal,"Toronto, ON","Senior Data Scientist TORONTO, ONSOFTWARE",75272
Alberta Pensions Services,"Edmonton, AB",21-03 Analytics and Data Science Specialist,75272
iQmetrix,"Vancouver, BC",Product Manager Data & Analytics,75272
PwC,"Toronto, ON","Deals, Data Analytics Generalist, Associate",75272
Celestica,"Toronto, ON","Specialist, Data Science",75272
AstraNorth,"Toronto, ON",Big Data Admin,75272
Yelp,Remote,Software Engineer - Big Data (Remote),75272
Circle,Ontario,Senior Data Analyst - Risk,75272
Intelex Technologies,British Columbia,Lead Machine Learning Developer - (ehsAI),75272
BrainStation,"Vancouver, BC","Educator, Data Scientist",75272
BMO Financial Group,"Toronto, ON",Sr Manager - Data Science,75272
Infinity Technology,"National Capital Region, ON",Senior Data Scientist,75272
Vanguard,"Toronto, ON","Senior Manager, Data Science",75272
Eastside Games,Remote,Game Data Analyst,75272
Benevity,None,"VP, Analytics & Insights",75272
IHS Markit,"Calgary, AB",2021 Summer Internship - Financial Risk Analytics - Software...,75272
Aviva,"Montréal, QC","Senior Actuarial Manager, Data Science",75272
Xero,"Toronto, ON",Senior Applied Scientist - Machine Learning Products,75272
BrainStation,"Vancouver, BC","Associate Educator, Data Scientist",75272
Resolver Inc.,Canada,Machine Learning Researcher,75272
KPMG,"Montréal, QC","Senior Consultant / Manager, Microsoft Data and Analytics",75272
Tetra Tech,"Edmonton, AB",Machine Learning Developer,75272
ChilliConnect,"Vancouver, BC","Machine Learning Intern (ML-Agents), AI@Unity",75272
ChilliConnect,"Montréal, QC",Senior Data Scientist / Scientifique de données sénior,75272
