Title,Location,Company,Salary
"Data Scientist, Memberships Modelling",None,Prodigy Game,None
Data Scientist,None,Sécurité XGuard,None
Sr. Data Analyst (Financial Crime Control) : 278012,None,CorTech,None
Data Scientist,"Winnipeg, MB",Manitoba Government,"$67,671 - $82,064 a year"
Data Scientist,"Vancouver, BC",MasterCard,None
Data Scientist 2,"Vancouver, BC",Microsoft,None
Senior Data Scientist,"Vancouver, BC",Microsoft,None
Senior Data & Applied Scientist - Content Recommendation,"Vancouver, BC",Microsoft,None
Data & Applied Scientist,"Vancouver, BC",Microsoft,None
Data Science Manager,"Vancouver, BC",Microsoft,None
Data Scientist,"Toronto, ON",CGI,None
Data Scientist,"Vancouver, BC",Providence Health Care,None
"Analytics, Data Scientist, Associate","Toronto, ON",PwC,None
Senior Applied Data Scientist,"Vancouver, BC",Microsoft,None
Data Scientist,"Toronto, ON",Trader Corporation,None
Senior Data Scientist,"Vancouver, BC",Axiom Zen,None
Data Science,"Vancouver, BC",Microsoft,None
Data Scientist,"Toronto, ON",Koho,None
Data Scientist,"Toronto, ON",Alcumus,None
DATA SCIENTIST,"Ottawa, ON",Temetrix,None
Product Data Scientist,"Waterloo, ON",Carta,None
"Data Scientist, Product Metrics and A/B Testing","Vancouver, BC",Cisco Systems,None
Data Scientist,"London, ON",LSEG (London Stock Exchange Group),None
"Analyste, intelligence d’affaires (data scientist)","Montréal, QC",SAQ - Société des Alcools du Québec,None
Data Science Intern,"Montréal, QC",TouchTunes / PlayNetwork,None
Data Scientist,"Victoria, BC",Pani Energy Inc,None
Data Analytics Director,"Vancouver, BC",Article,None
"Data Analyst, Subscription","Montréal, QC",Ubisoft,None
"Senior Data Scientist, AWS Security- Ottawa/Toronto","Ottawa, ON",Amazon Dev Centre Canada ULC,None
Data Scientist,"Toronto, ON",Loopio,None
Data Scientist / Senior Data Scientist,"Toronto, ON",StackAdapt,None
Data Science Manager,"Vancouver, BC",Microsoft,None
Staff Data Scientist (Remote),Remote,Jungle Scout,None
Data Scientist,Remote,PointClickCare,None
Data Scientist,"Victoria, BC",Pani Energy Inc,None
Data Scientist,"Montréal, QC",Novisto,None
Data Scientist/Analyst – Summer Placement,"Calgary, AB",Grey Owl Engineering,None
Data Scientist,"Toronto, ON",Dawn InfoTek Inc.,$80 an hour
Machine Learning Applied Scientist,Remote,Prenuvo Inc,None
Data Scientist,"Brunswick, ON",Summatti,None
Data Engineer/Data Scientist,"Vancouver, BC",PHEMI Systems,None
Data Scientist,"Vancouver, BC",Cymax Group,None
Data Scientist - EA SPORTS Security,"Vancouver, BC",Electronic Arts,None
Product Data Scientist,"Waterloo, ON",Carta,None
Data Scientist Engineer,"Mississauga, ON",BASF,None
Applied Data Scientist,"Oakville, ON",Geotab,None
Data Scientist,"Ottawa, ON",Telesat,None
"Team Leader, Data Analytics","Saint John, NB",Kent Building Supplies,None
Team Lead Data Scientist,"Montréal, QC",Audela,None
"Data Analyst, Co-op (4-8 months) - Summer 2021",Remote,Opencare,None
Data Scientist / Scientifique des données,"Montréal, QC",Groom & Associes,None
"Analytics, Data Solutions Architect, Senior Associate","Toronto, ON",PwC,None
Data Scientist,"Moncton, NB",Huddle,None
Data Scientist,Canada,Hopper,None
Scientifique de données / Data Scientist,"Montréal, QC",BusPatrol,None
Data Analyst,"Hamilton, ON",Preteckt,"$65,000 - $75,000 a year"
Data Scientist,"Markham, ON",Opta Information Intelligence Corp.,None
Major Projects Data Scientist,"Vancouver, BC",Stantec,None
Data Scientist,"Toronto, ON",Overbond,None
Senior Data Analyst,"Montréal, QC",Autodesk,None
Senior Data Scientist,"National Capital Region, ON",Infinity Technology,None
Data Scientist - Innovation & Attributes,"Toronto, ON",Equifax,None
Data Scientist,"Moncton, NB",Huddle,None
Senior Data Scientist,"Vancouver, BC",Axiom Zen,None
Scientifique de données / Data Scientist,"Montréal, QC",BusPatrol,None
"Director, Data Analytics","Burnaby, BC",Ritchie Bros.,None
Data Scientist Coop,"Waterloo, ON",Summatti,None
Pricing Data Scientist,"Montréal, QC",Sonder,None
"Senior Data Scientist, KPMG Lighthouse","Montréal, QC",KPMG,None
"Data Scientist, Analytics & Insights","Mississauga, ON",World Vision Canada,None
Data Scientist - RACE21,"Vancouver, BC",Teck Resources Limited,None
Team Lead Data Scientist,"Montréal, QC",Audela,None
Data Scientist,"Concord, ON",thinkCOMPASS,None
