Company,Location,Title,Salary
Dunroe,None,Business Intelligence Analyst (Summer Intern,15600
Adecco,None,Junior Data Analyst – Banking,18720
Kobold Corporation,None,Junior Data Analyst - Summer Student,20800
Inland Empire United Way,Riverside ON,211 Data Analyst,22880
Thames Valley Family Health Team,London ON,Data Analyst,26728
NORTHERN LIGHTS SEAFOOD INC.,Corner Brook NL,analyst investments,27040
Dameng Internet Ltd,Halifax NS,database analyst,32240
Talent Department,Toronto ON,Data Analyst,32500
Dynamic Endoscopy & Speciality Care,St. Catharines ON,database analyst,35360
RE Partners,None,Sr. Business Analyst - Healthcare,37500
PRECISIONheor,Vancouver BC,research analyst health policy,40000
Data Ad,Montréal QC,Junior Programmer Analyst,40000
United Way Lower Mainland,Burnaby BC,Technical Business Analyst,40836
PHSA,Kamloops BC,Data Centre Analyst III,41256
BITTS International Career College,Mississauga ON,database analyst,41600
Aesthetic Dimension Group,Calgary AB,Business Development Analyst,41600
District of West Vancouver,West Vancouver BC,Capital Asset Analyst,41984
International Credit Experts,Vaughan ON,Data Analyst,42500
City of West Kelowna,West Kelowna BC,GIS Analyst,44012
Isolab Inc.,Windsor ON,analyst business - computer systems,44980
TES - The Employment Solution,None,Junior Data Analyst,46800
City of Windsor,Windsor ON,Data Analyst,53643
Kalibrate,London ON,Senior Analyst Client Services,57860
Saskatchewan Government Insurance,Regina SK,Claims Analyst,65358
National Defence,Victoria BC,Geomatics Analyst - Inventory Process,66323
National Defence,Victoria BC,Geomatics Analyst - Inventory Process,66323
District School Board of Niagara,St. Catharines ON,Student Data Analyst,69577
Bizxcel Inc.,None,Business and Data Analyst,70000
Tangam Systems,Waterloo ON,Data Analyst/Software Developer,70000
Wilfrid Laurier University,Waterloo ON,Corporate Card Program Analyst,72446
Robocoder Corporation,Richmond BC,Business Systems Analyst,75000
Robert Half,None,Data Analyst,75920
StockholmSyndrome.AI,Montréal QC,Analyste de données - Data Analyst,77500
Public Service Commission of Canada,Canada,Policy and Data Analyst - Careers for Persons with Disabilit...,77619
PHSA,Vancouver BC,Data Analyst Health Surveillance - BC Centre for Disease Con...,77896
Vincent Investment Products Inc.,Unionville ON,securities research analyst,78000
David Aplin Group,None,Data Visualization Specialist,85000
peopleforce inc,Toronto ON,TDM-Test Data Analyst,85193
City of Saskatoon,Saskatoon SK,Housing Analyst,87431
City of Toronto,Toronto ON,RESEARCH ANALYST 1,90823
Yukon Government,Whitehorse YT,Business Analyst and Research Consultant,92078
Indeed,None,Technical Business Analyst,93000
Powerbev Inc.,None,Senior Business Insights Analyst Sales,93673
Government of Saskatchewan,Regina SK,Senior Researcher and Statistical Analyst,96106
Airswift,None,Business System Analyst,127920
TELUS,Edmonton AB,Data Analyst/Engineer,161200
Suncor Energy Services,None,Data Visualization Analyst (Developer),60887
Allstate Canada,None,ANALYST DATA ENGINEERING,60887
Loblaw Companies Limited,"Brampton, ON",Data science analyst,60887
Softchoice,None,Data Quality Analyst,60887
Blakely Inc.,"Aurora, ON",Data Analyst,60887
EY,"Halifax, NS",Staff Data Analyst,60887
TransAlta,"Calgary, AB",Junior Data Analyst (12 Months Temporary),60887
Zafin,"Ottawa, ON",Data Analyst,60887
Mitsubishi UFJ Fund Services,"Halifax, NS",Data Quality Analyst,60887
BGIS,"Calgary, AB",Data Centre Analyst,60887
Highwood Emissions Management Inc.,"Calgary, AB",Emissions Analyst,60887
Alberta Health Services,Canada,Senior Analyst,60887
StoryIQ,Remote,Data Visualization and Business Intelligence Trainer,60887
Tekion,Canada,Data Services Analyst - Canada,60887
eBay Inc.,"Toronto, ON",Data Insights Analyst - Intern,60887
Hexagon,"Calgary, AB",Senior Business & Data Analyst,60887
ZE Power Group,"Richmond, BC",Data Analyst,60887
Day & Ross Inc.,"Fredericton, NB",Data Analyst,60887
Tekion,Canada,Data Services Analyst - Canada,60887
eBay Inc.,"Toronto, ON",Data Insights Analyst - Intern,60887
WestJet,"Calgary, AB",Data Analyst,60887
Morgan Stanley,"Montréal, QC",Data and Analytics Quantitative Analyst,60887
Cummins Inc.,"Mississauga, ON",Fuel Cell Data Engineer / Analyst,60887
Expeditors,"Mississauga, ON",Regional Ocean Pricing Analyst,60887
Shogun,Ontario,Senior Data Analyst,60887
Robert Half,None,Data Reporting Analyst - Microstrategy,60887
360insights,"Moncton, NB",Data Analyst,60887
The Home Depot Canada,None,DC Operations Planning Analyst,60887
Tangerine Bank,"North York, ON",EDW Testing Analyst -Tangerine,60887
CAPREIT,"Toronto, ON",Data Analyst,60887
Shogun.,British Columbia,Senior Data Analyst,60887
EllisDon Corporation,"Mississauga, ON",Data Analyst,60887
Hexagon,"Calgary, AB",Senior Business & Data Analyst,60887
Marsh and McLennan,"Toronto, ON",Business Data Analyst,60887
Capgemini,"Brampton, ON",Data Analyst,60887
Makeship,Remote,Senior Data Analyst,60887
Geotab,"Oakville, ON",Data Analyst,60887
Link Energy,"Montréal, QC",Data Analyst,60887
Desjardins,"Lévis, QC",Business Intelligence Analyst,60887
Onix Networking Corp,"Quebec City, QC",Business Analyst,60887
WSP,"Quebec City, QC",Oracle ERP Analyst,60887
Civeo Canada LP,"Edmonton, AB",Admin/Data Analyst 1,60887
Expeditors,"Mississauga, ON",Regional Ocean Pricing Analyst,60887
Ubisoft,"Montréal, QC",Data Visualization Specialist,60887
Willis Towers Watson,"Toronto, ON",Analyst,60887
Geotab,"Oakville, ON",Data Analyst,60887
Scotiabank,"Etobicoke, ON",Senior Network Analyst (Data Centre / Critical Facilities),60887
Cognizant Technology Solutions,"Toronto, ON",Big Data QA Analyst,60887
Parkland Corporation,"Calgary, AB","Sr. Business Analyst, Power BI",60887
SSENSE,"Montréal, QC",Pricing Analyst,60887
Arcurve Inc.,"Calgary, AB",Business Intelligence Analyst - Data Analytics,60887
AstraNorth,"Toronto, ON","Business Analyst – Bank Regulatory Reporting, Trading Data",60887
JAM Direct,"Toronto, ON",Junior Business Analyst,60887
Earl's Holdings Ltd.,"Vancouver, BC",Data Support Analyst,60887
Koho,"Toronto, ON",Senior Marketing Data Analyst,60887
Shared Health,Manitoba,Data Integrity Analyst,60887
Marsh and McLennan,"Toronto, ON",Business Data Analyst,60887
CPP Investments,"Toronto, ON","Senior Analyst/Associate, Data Operations",60887
BDO,"Ottawa, ON",Data Visualization Specialist,60887
Cogeco Connexion inc.,"Burlington, ON",CPE Network Specialist & Data Analyst,60887
Morningstar,"Toronto, ON",Data Research Analyst,60887
RBC,"Bedford, NS",Senior Business / Data Quality Analyst,60887
Darkhorse Analytics,Alberta,Director of Data Visualization,60887
Robert Half,None,Data Reporting Analyst - Microstrategy,60887
Shared Health,Manitoba,Project Analyst,60887
Ubisoft,"Halifax, NS",Data Analyst,60887
AECOM,"Edmonton, AB",Data Analyst Intern,60887
Workplace Safety and Insurance Board,"Toronto, ON",Business Analyst - CBA,60887
StereoLOGIC,"Toronto, ON",Business Process Analyst,60887
TELUS,"Edmonton, AB",Data Analysts,60887
BMW Group Financial Services Canada,"Toronto, ON",Business Intelligence Analyst,60887
S M Software Solutions Inc,Remote,Business Analyst,60887
CARQUEST Canada Ltd.,"Toronto, ON",Merchandising/ Inventory Analyst,60887
Capgemini,"Brampton, ON",Data Analyst,60887
Canada Protection Plan,"Toronto, ON",Data Analyst,60887
BRP,"Valcourt, QC",Business intelligence Analyst,60887
Communitech Technology Association,"Kitchener, ON",Data Analyst,60887
TD Bank,"Toronto, ON",Sr. IT Data Analyst,60887
Dokainish & Company,Remote,Junior Business Analyst,60887
Fresh Prep,"Vancouver, BC",Junior Business Analyst,60887
Citco,"Halifax, NS",Operations Analyst,60887
Kraft Heinz Company,"Don Mills, ON","Sr. Analyst, CPFR",60887
SnapTravel,"Toronto, ON",Data Analyst (Intermediate),60887
Trafigura,"Calgary, AB",Senior Compliance Analyst,60887
Canadian Niagara Hotels,"Niagara Falls, ON",Junior Data Analyst,60887
Bowen Group,None,DATA ANALYST,60887
Mackenzie Health,"Richmond Hill, ON",Data Quality Analyst,60887
Lucros Partners,Canada,Category Analyst,60887
Manitoba Public Insurance,"Winnipeg, MB",Estimatics Analyst,60887
TELUS,"Toronto, ON",Senior Business Analyst (Service Now),60887
Dokainish & Company,Remote,Junior Business Analyst,60887
Canadian Institute for Health Information,"Toronto, ON","Senior Analyst, Advanced Analytics",60887
BRP,"Valcourt, QC",Manufacturing Functional Analyst,60887
ISG Search Inc,None,Business Analyst - Data Migration,60887
Coast Capital Savings Federal Credit Union,"Surrey, BC",Data Management Analyst,60887
MNP,"Calgary, AB","Analyst, Technology Solutions",60887
Canada Life Assurance Company,"London, ON",Senior Data Governance Analyst,60887
theScore Inc.,"Toronto, ON",Reporting Analyst,60887
BMO Financial Group,"Toronto, ON",Servicing Analyst - Commercial Lending Operations,60887
Alithya,"Montréal, QC",Data Engineering Analyst,60887
IPG Mediabrands,"Toronto, ON",Initiative - Data Analyst,60887
NFP Corp,"Mississauga, ON",Business Operations Analyst,60887
Manulift,"Saint-Augustin, QC",BI Analyst,60887
General Motors,Ontario,Data Engineer/Analyst - Active Safety & Autonomous Data Reco...,60887
Oculus Info Inc,"Toronto, ON",Data Analyst,60887
Procom,None,Data Analyst - 306580,60887
United Way Windsor-Essex County,"Windsor, ON",Data Analyst,60887
Ludia,"Montréal, QC",Business Analyst Intern,60887
Wave,"Toronto, ON","Senior Data Insights Analyst, Customer Experience",60887
Lucova,"Toronto, ON",Data Analyst,60887
CBRE,"Mississauga, ON",Sr Business Analyst,60887
Acquire Agency,"Toronto, ON",Performance Analyst,60887
School District #35 (Langley),"Langley, BC",Data Analyst and Student Info Planner,60887
CPP Investments,"Toronto, ON","Senior Analyst/Associate, Data Operations",60887
IGT,"Moncton, NB",Data Ops Analyst III,60887
CBRE,"Winnipeg, MB",Junior Analyst & Sales Trainee,60887
Manulife,"Waterloo, ON",Business Intelligence Analyst,60887
