Title,Location,Company,Salary
Data Scientist (Remote),None,Cadre,None
Machine Learning Developer (English Services),Canada,CBC/Radio-Canada,None
Data Scientist,"Montréal, QC",Earth Rated,None
"Analyste, intelligence d’affaires (data scientist)","Montréal, QC",SAQ - Société des Alcools du Québec,None
Data Scientist,"Toronto, ON",Amazon Dev Centre Canada ULC,None
Data Scientist,"North Vancouver, BC",ICBC,None
Data Scientist I,"Montréal, QC",TD Bank,None
Data & Applied Scientist,"Vancouver, BC",Microsoft,None
Data Scientist – Statistics (User Research Lab),"Montréal, QC",Ubisoft,None
Data Scientist,"Montréal, QC",Ubisoft,None
Data Scientist,"Toronto, ON",Black Professionals in Tech Network,None
Data Scientist,"Vancouver, BC",Microsoft,None
Data Scientist,"Fredericton, NB",Department of Social Development,"$57,382 - $80,132 a year"
Data Scientist,"Winnipeg, MB",Manitoba Government,"$67,671 - $82,064 a year"
Applied Scientist 1,"Vancouver, BC",Microsoft,None
Data Scientist,"Toronto, ON",Loopio,None
DATA SCIENTIST,"Toronto, ON",Leger,None
Data Scientist,"Vancouver, BC",Microsoft,None
Data Scientist,"Toronto, ON",Black Professionals in Tech Network,None
Data Scientist,Canada,Prospect 33,None
Data Scientist,"Kelowna, BC",Two Hat,None
Data Scientist,"Waterloo, ON",University of Waterloo,None
Data Scientist,"Montréal, QC",Ubisoft,None
Applied Data Scientist,"Calgary, AB",Absorb LMS,None
"Operations Research Scientist/Data Scientist - Vancouver, Ca...","Vancouver, BC",Fujitsu,None
Data Scientist,"Ottawa, ON",IFS,None
Software Developer – Data Science,"Toronto, ON",TELUS,None
Data Scientist,"Winnipeg, MB",Manitoba Government,"$67,671 - $82,064 a year"
"Data Scientist, Fall 2021 Student Opportunities (8 Months On...",Ontario,RBC,None
Data Scientist - Commercial Insights & Modelling,"Toronto, ON",Equifax,None
Staff Data Scientist - Product,"Toronto, ON",Twitter,None
Data Scientist / Senior Data Scientist - North American Inte...,"Toronto, ON",Munich RE,None
