Title,Location,Company,Salary
Data Scientist,None,Neelands,None
Data Scientist (Summer Intern),None,Dunroe,$15 an hour
"Data Scientist/Engineer, Decision Analytics",None,The Home Depot Canada,None
Jr Data Scientist,None,TEKsystems,None
Data Scientist Intern,None,Legacy Leaders Inc,$18 - $21 an hour
Data Scientist,"Toronto, ON",Scotiabank,None
Data Scientist Coop,"Waterloo, ON",Summatti,None
Data Scientist / Data Science Engineer,"Calgary, AB",CNOOC International,None
Data Scientist,"Montréal, QC",IBM,None
Data Scientist,"Dollard-Des Ormeaux, QC",W.I.T.H. Digital,"$120,000 a year"
Data Science Intern,"Toronto, ON",[24]7.ai,None
Data Scientist (entry-level),"Toronto, ON",Coursera,None
"Student, Data Scientist","Calgary, AB",Alberta Energy Regulator,None
Data Scientist,"Calgary, AB",Highwood Emissions Management Inc.,None
Data Scientist,"Regina, SK",eHealth Saskatchewan,$41.56 - $50.57 an hour
"Data Scientist, Fraud Operations","Vancouver, BC",Axiom Zen,None
Data Scientist,"Ottawa, ON",Telesat,None
Data Scientist,"Toronto, ON",Overbond,None
Data Scientist,Canada,Hopper,None
Data Scientist,"Mississauga, ON",Electrical Safety Authority,None
"Senior Data Scientist, Artificial Intelligence Research","Toronto, ON",Verus Analytics,None
Data Scientist,"Toronto, ON",Thinking Capital,None
Data Scientist,"Calgary, AB",MobSquad,None
Data Scientist,"Calgary, AB",SkipTheDishes,None
Machine Learning Applied Scientist,Remote,Prenuvo Inc,None
Data Scientist Intern,"Toronto, ON",Minevest Ltd.,None
Data Analytical Specialist/ Scientist,"Toronto, ON",Locus Systems Inc.,None
Contract - Data Scientist,"Toronto, ON",Scotiabank,None
Data Scientist,"Toronto, ON",Uken Games,None
Data Scientist,Canada,Innovation Credit Union,"$82,338 - $102,921 a year"
Decision Scientist - Devices,"Vancouver, BC",Amazon Dev Centre Canada ULC,None
Climate Data Scientist,"Calgary, AB",Associated Engineering Group of Companies,None
Senior Applied Data Scientist,Canada,Best Buy,None
Data Analysts,"Edmonton, AB",TELUS,None
Data Scientist (Growth & Marketing),"Toronto, ON",Loblaw Digital,None
Data Scientist,"Brampton, ON",Loblaw Companies Limited,None
"Data Scientist, Omnia AI","Toronto, ON",Deloitte,None
Data Science,Canada,Cyber Chasse,None
Data Scientist,"Calgary, AB",SkipTheDishes,None
Data Scientist,"Montréal, QC",Maxa AI,None
DATA SCIENTIST,"Drummondville, QC",Kezber,None
Data Scientist,"Calgary, AB",MobSquad,None
BAND 2 - Senior Data Scientist,"Victoria, BC",BC Public Service,None
Data Scientist Engineer,"Mississauga, ON",BASF,None
Data Engineer - Advertising Analytics Data Pipeline,"Toronto, ON",Amazon Dev Centre Canada ULC,None
Senior Applied Data Scientist,Canada,Best Buy,None
Principal Data Scientist,"Toronto, ON",Veeva Systems,None
Data & Applied Scientist 2,"Vancouver, BC",Microsoft,None
Data Scientist,"Vancouver, BC",Microsoft,None
Data Scientist I,"Montréal, QC",TD Bank,None
Machine Learning Engineer,"Edmonton, AB",PulseMedica,"$78,374 - $100,000 a year"
Data Analysts,"Edmonton, AB",TELUS,None
Data Scientist,"Toronto, ON",CakeAI,None
Data Scientist / Engineer,"Toronto, ON","LotusFlare, Inc.",None
Major Projects Data Scientist,"Vancouver, BC",Stantec,None
Data Scientist - 307900,None,Procom,None
Principal Data Scientist,Remote,Innovyze,None
Scientist/Engineer - Applied Climatology,"Guelph, ON",RWDI,None
Data Scientist,"Montréal, QC",Nakisa,None
Data Analyst,"Victoria, BC",BC Pension Corporation,"$70,951 - $80,893 a year"
Senior Data Scientist,"Vancouver, BC",Oracle,None
Data Scientist,"Vancouver, BC",Microsoft,None
Data Scientist,"Montréal, QC",Novisto,None
Principal Data Scientist,Remote,Innovyze,None
Data Scientist,"Montréal, QC",Transit App,None
