Company,Location,Title,Salary
City of Ottawa,Ottawa ON,Summer StudentTraffic Control Data Analyst Assistant,14851
ISM Canada,Regina SK,Business Analyst (ServiceNow (Temporary (SK,15216
Groom & Associes,Saint-Laurent QC,Junior Data Analyst,18720
MSi Corp (Bell Canada,Ottawa ON,Data Entry Analyst,20800
Parmida E-commerce,None,Data Analyst,22500
Global Affairs Canada,Ottawa ON,Business Intelligence Analyst/Policy Analyst - Student,50939
Data Sciences,None,Market Research Analyst,57000
Luvinova Property Management Corporation,Haines Junction YT,database analyst,64480
Indeed,None,International Taxonomy Analyst - Canada (French,66000
Indigenous Services Canada,Canada,EC-02 - Data Analyst,66721
NTT DATA Services,Halifax NS,Business Analyst (Data Analysis & Healthcare Payer,67600
Niagara Region,Niagara ON,Data Analyst (EMS and Clinical Services,74520
Interaxon,Toronto ON,Data Analyst (Remote in Canada,75000
Shared Health,Winnipeg MB,Public Health Contact Centre - Data and Statistical Analyst,76554
CHEO,Ottawa ON,Business Systems Analyst (initial assignment One Call One Cl...,76967
McGill University,Montréal QC,Analyst,78920
ReactiveStax Technologies Inc,Toronto ON,data analyst - informatics and systems,79040
Metrolinx,Toronto ON,Risk Analyst Construction Projects,85775
Dermalogica,None,Sales Data Analyst,87500
Communications Security Establishment,Ottawa ON,BUSINESS ANALYST,87971
Canada Revenue Agency,Canada,ES-04 Analyst (ES0202,95328
City of Calgary,Calgary AB,Business Operations Analyst,97750
Samiti Technology,Toronto ON,Business Analyst,156000
BC Hydro,None,Marketing Data Analyst,66789
Western Financial Group,None,Business Analyst,66789
Charger Logistics Inc.,None,Logistics Analyst,66789
BAE Systems Applied Intelligence,"Toronto, ON",Data Analyst,66789
Neo Financial,"Calgary, AB",Partnerships Data Analyst,66789
resulta,"Bedford, QC",Data Analyst,66789
British Columbia Securities Commission,"Vancouver, BC",Data Analyst,66789
ABB,"Saint-Jean-sur-Richelieu, QC",INTERNSHIP - Data Analyst Intern,66789
Helcim,"Calgary, AB",Data Analyst,66789
Alberta Health Services,"Edmonton, AB","Analyst - Information, Evaluation & Data",66789
Freedom Mobile,"Calgary, AB",Data Analyst and Investigator,66789
Halton Region,"Halton, ON",Research and Data Analyst Intern,66789
resulta,"Bedford, QC",Data Analyst - Contract position (Open Ended),66789
Yelp,Remote,Data Science Analyst (Remote),66789
Scandinavian Building Services,"Edmonton, AB",Junior Data Analyst,66789
Liberty,"Oakville, ON","Analyst, Data Quality and Integration",66789
Tucows,Ontario,Senior Data Analyst - Remote,66789
Day & Ross Inc.,"Fredericton, NB",Data Analyst,66789
Honda Canada,"Markham, ON",Data Analyst,66789
Bell Canada,"Mississauga, ON","Data Analyst, Business Intelligence",66789
Cummins Inc.,"Mississauga, ON",Fuel Cell Data Engineer / Analyst,66789
Citi,"Mississauga, ON",Intermediate Data Analyst,66789
Pure Treats Inc,None,Business Intelligence & Reporting Analyst,66789
Invesco,"Toronto, ON",Data Analyst Intern,66789
Prodigy Game,None,"Data Analyst, Game",66789
Solvera,"Regina, SK",Power BI Data Analyst (Regina or Saskatoon) - 1221,66789
Cronometer Software Inc.,"Revelstoke, BC",Nutrition Data Analyst,66789
Sales Beacon,"Moncton, NB",Data Analyst,66789
RBC,"Mississauga, ON",Business Analyst,66789
Millennium 1 Solutions,None,Business Insight Data Analyst,66789
DSS Sustainable Solutions,"Toronto, ON","Data Analyst, North America",66789
Magna International Inc.,None,BI Developer/Analyst,66789
RBC,"Toronto, ON",Data Analyst,66789
Mawer Investment Management Ltd.,"Calgary, AB",Business Intelligence Analyst,66789
WhoPlusYou,"Toronto, ON",Information and Data Analyst,66789
AutoCanada Inc.,None,Database Developer - Business Intelligence (BI) Team,66789
