Title,Location,Company,Salary
Environmental Data Scientist,None,Chu Cho Environmental,"$77,000 a year"
Data Scientist,None,Imperial Tobacco Canada,"$70,000 - $80,000 a year"
Data Scientist Engineer,None,Techie Inc.,"$75,000 - $100,000 a year"
Data Scientist (Remote),None,Cadre,None
Analytics & Insights Analyst,None,AIR MILES,None
Data Scientist,None,Plus10,"$170,000 a year"
Data Scientist,"Toronto, ON",DAITA Inc.,"$75,000 - $105,000 a year"
Junior Data Scientist- Customer Service Excellence,Canada,TELUS,None
Data Scientist,"Etobicoke, ON",Moneris Solutions Corporation,None
"Data Science Intern, Machine Learning (Fall 2021) - Canada",Remote,Coursera,None
Research Programmer - Data Scientist,"Vancouver, BC",BC Cancer Agency,None
Data Scientist,"Calgary, AB",Parkland Corporation,None
Data Scientist,"Surrey, BC",Risk Solutions,None
DATA SCIENTIST,"Edmonton, AB",NORQUEST COLLEGE,"$65,318 - $84,817 a year"
Data Scientist - Sports Analytics,None,Staffinity Inc.,"$80,000 - $120,000 a year"
Data Scientist,"Ottawa, ON",Canadian Security Intelligence Service,"$95,350 - $116,060 a year"
Research and Development Data Scientist (Digital Phenotyping...,"Saskatoon, SK",BASF,None
Data Scientist,"Calgary, AB",MobSquad,None
Applied Data Scientist,"Calgary, AB",Absorb LMS,None
BAND 2 - Data Analytics Specialist,"Victoria, BC",BC Public Service,"$65,600 - $92,700 a year"
"Analytics, Data Scientist, Associate","Ottawa, ON",PwC,None
"Data Scientist I, Machine Learning Model Validation","Montréal, QC",TD Bank,None
Data Scientist,"Kitchener, ON",Acerta Analytics Solutions Inc,"$90,000 - $115,000 a year"
Data Scientist,"Vancouver, BC",Microsoft,None
Data Scientist,"Montréal, QC",Ubisoft,None
"Data Scientist, Data, Analytics, Evaluation and Reporting (D...","Vancouver, BC",PHSA,None
AI Developer / Data Scientist,"Calgary, AB",Attabotics,None
Data Scientist,British Columbia,Kinsol Research,None
Data Scientist,"Markham, ON",Opta Information Intelligence Corp.,None
Data Scientist / Senior Data Scientist - North American Inte...,"Toronto, ON",Munich RE,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
None,None,None,None
Software Engineer - Machine Learning,"Vancouver, BC",Microsoft,None
Tableau Data Analyst,"Ottawa, ON",Relogix,None
Marketing Data Scientist,"Montréal, QC",BRP,None
Central Data Scientist,Remote,PRA Health Sciences,None
Analytics Fall Co-op Student 2021,"Toronto, ON",RBC,None
data analyst - informatics and systems,"Vancouver, BC",ClickDishes Inc.,"$52,000 - $60,000 a year"
"Senior Data Analyst, Oncology PRCC","Mississauga, ON",Trillium Health Partners,None
"Senior Data Scientist, People Analytics","Brampton, ON",Loblaw Companies Limited,None
Data Scientist,"Ottawa, ON",Accenture,None
Principal Data Scientist - AWS Professional Services,Canada,"Amazon Web Services Canada, In",None
Data Scientist,"Ottawa, ON",Telesat,None
Data Scientist,British Columbia,Kinsol Research,None
Product Data Scientist,"Waterloo, ON",Carta,None
Senior AI Applied Research Scientist,"Montréal, QC",ServiceNow,None
Data Scientist I,"Montréal, QC",TD Bank,None
Lead Data Science,"Toronto, ON",BHP,None
Stagiaire en recherche – compréhension du langage naturel /...,"Montréal, QC",Microsoft,None
ML Engineer - Framework,"Toronto, ON",TD Bank,None
Lead Data Scientist - Core Local Business (Remote),"Toronto, ON",Yelp,None
Data Scientist II,"Don Mills, ON",Kraft Heinz Company,None
Software Engineer - Machine Learning (Remote),"Calgary, AB",Yelp,None
Data Scientist,"Kitchener, ON",Acerta Analytics Solutions Inc,"$90,000 - $115,000 a year"
Data Scientist,"Vancouver, BC",Apply Digital,None
"Senior Data Scientist, KPMG Lighthouse","Montréal, QC",KPMG,None
Microsoft BI Developer,"Ottawa, ON",Minto Group Inc.,None
Machine Learning Engineer - NLP,"Toronto, ON",BenchSci,None
Big Data Developer,"Toronto, ON",StackPros Inc.,None
Data Science,Canada,Cyber Chasse,None
DATA SCIENTIST,"Toronto, ON",Leger,None
BI Data Engineer,"Montréal, QC",Stingray,None
Head of Data Science / AI,"Mountain View, AB",Deepcell,None
Jr. Data Scientist (Summer Student),"Ottawa, ON",RVezy,$28 an hour
Staff Data Scientist - Product,"Toronto, ON",Twitter,None
