Company,Location,Title,Salary
Guiker,Montréal QC,Data Scientist Intern,27500
Agriculture Financial Services Corporation,Lacombe AB,Data Science - Summer Student,50211
University of Alberta,Edmonton AB,Senior Data Analyst,69941
Aqua Silva Resource Management Ltd.,Langley BC,Intermediate Applied Scientist,70940
Global Strategy Lab,Toronto ON,Social Epidemiologist; Quant. Social Scientist; Applied Bios...,80000
Global Strategy Lab,Toronto ON,Social Epidemiologist; Quant. Social Scientist; Applied Bios...,80000
Mishon Inc,Remote,Data Scientist,83200
Innovation Credit Union,Canada,Data Scientist,92629
Public Services and Procurement Canada,Gatineau QC,Data Analyst and Data Scientist,93900
Tangam Systems,Waterloo ON,Software Engineer in Algorithms & Optimization for Data Anal...,97500
Staffinity Inc.,None,Data Scientist - Sports Analytics,100000
Staffinity Inc.,None,Data Scientist/Machine Learning Engineer,100000
MaxSold,None,Data Scientist,78818
Neelands,None,Data Scientist,78818
Charger Logistics Inc.,None,Data Scientist,78818
ProNavigator,"Kitchener, ON",Junior Data Scientist,78818
Loblaw Companies Limited,"Brampton, ON",Data Scientist,78818
Highwood Emissions Management Inc.,"Calgary, AB",Data Scientist,78818
Alberta Energy Regulator,"Calgary, AB","Student, Data Scientist",78818
Carta,"Waterloo, ON",Product Data Scientist,78818
Hopper,Canada,Data Scientist,78818
RWDI,"Guelph, ON",Scientist/Engineer - Applied Climatology,78818
RBC,"Toronto, ON",Junior Data Scientist,78818
Telesat,"Ottawa, ON",Data Scientist,78818
Lakeland College,"Vermilion, AB",Applied Research Scientist - Canola & Other Oilseed Crops,78818
MEG Energy,Canada,Data Scientist - Contract Position,78818
Yelp,"Vancouver, BC",Applied Scientist (Remote),78818
McAfee,"Waterloo, ON",Sr. Data Scientist - Experimentation,78818
Microsoft,"Vancouver, BC",Data & Applied Scientist 2,78818
Two Hat,"Kelowna, BC",Data Scientist,78818
IBM,"Montréal, QC",Data Scientist,78818
ZE Power Group,"Richmond, BC",Data Analyst,78818
Splunk,"Vancouver, BC",Applied Scientist (Machine Learning) - Remote BC or Ontario,78818
Rogers Communications,"Toronto, ON",Data Scientist,78818
Altus Group,"Toronto, ON",Data Scientist,78818
BC Public Service,"Victoria, BC",RES O 27R - Data Scientist AMENDED,78818
SomaDetect,"Kitchener, ON",Data Scientist,78818
"Amazon Web Services Canada, In",Canada,Associate Data Scientist - AWS Professional Services,78818
IBM,"Ottawa, ON",Data Scientist and Managing Strategy Consultant,78818
Profitable Software Inc.,"Vancouver, BC",Junior Data Scientist,78818
Nakisa,"Montréal, QC",Data Scientist,78818
Cisco Systems,"Vancouver, BC","Data Scientist, Product Metrics and A/B Testing",78818
Equifax,"Toronto, ON",Data Scientist - Innovation & Attributes,78818
Temetrix,"Ottawa, ON",DATA SCIENTIST,78818
Oracle,"Vancouver, BC",Senior Data Scientist,78818
Rogers Communications,"Toronto, ON",Senior Data Scientist,78818
Summatti,"Kitchener, ON",Data Scientist,78818
Aviva,"Markham, ON",Data Scientist,78818
Circle,Ontario,"Director, Data Science",78818
TandemLaunch,"Montréal, QC","Data Scientist (co-founder, startup)",78818
BDO,"Calgary, AB",Senior Data Scientist,78818
Twitter,"Toronto, ON",Data Scientist - Product Data Science,78818
IBM,"Markham, ON",Data Scientist Intern (8 Months),78818
Launchtrip,"Vancouver, BC",A.I. / Data Scientist,78818
Thinking Capital,"Ottawa, ON",Data Scientist,78818
Loblaw Digital,"Toronto, ON",Data Scientist (Growth & Marketing),78818
Loblaw Digital,"Toronto, ON",Data Scientist (Shopping Experience),78818
Huddle,"Moncton, NB",Data Scientist,78818
Scotiabank,"Toronto, ON",Director Behavioural Data Science,78818
Teck Resources Limited,"Vancouver, BC",Data Scientist - RACE21,78818
Microsoft,"Vancouver, BC",Senior Data Scientist,78818
Deepcell,"Mountain View, AB",Research Data Scientist,78818
Vessi,"Vancouver, BC",Junior Data Scientist,78818
Carta,"Waterloo, ON",Machine Learning Engineer,78818
Jane.com,"Toronto, ON",Junior Data Scientist,78818
Novisto,"Montréal, QC",Data Scientist,78818
Wish,"Toronto, ON",Data Scientist - Data & Relevancy,78818
Shift Technology,"Toronto, ON",Data Scientist - Canada,78818
RBC,"Toronto, ON",Senior Data Scientist,78818
EY,"Toronto, ON",Canadian Assurance – Digital Audit Summer Internship,78818
Geotab,"Oakville, ON",Data Scientist,78818
Koïos Intelligence,"Montréal, QC",Data scientist,78818
District M,"Montréal, QC",Product Data Scientist,78818
Tonal,"Toronto, ON","Senior Data Scientist, GANs TORONTO, ONSOFTWARE",78818
Microsoft,"Montréal, QC",Scientifique des données et appliqué/ Data & Applied Scienti...,78818
Deepcell,"Mountain View, AB",Research Data Scientist,78818
407 ETR,"Woodbridge, ON",Sr Data Scientist,78818
METRIO,"Montréal, QC",Data Scientist,78818
Lululemon,"Vancouver, BC",Senior Data Scientist,78818
Cyber Chasse,Canada,Data Science,78818
Vendasta,"Saskatoon, SK",Senior Data Analyst,78818
