Company,Location,Title,Salary
Dunroe,None,Data Scientist (Summer Intern,15600
Dunroe,None,Data Scientist (Summer Intern,15600
Dunroe,None,Data Scientist (Summer Intern,15600
Dunroe,None,Data Scientist (Summer Intern,15600
Guiker,Montréal QC,Data Scientist Intern,27500
PHSA,None,Business Intelligence Data Developer,41256
Government of Canada,Montréal QC,Data Scientist Intern,53040
W.I.T.H. Digital,Dollard-Des Ormeaux QC,Data Scientist,60000
Aqua Silva Resource Management Ltd.,Langley BC,Intermediate Applied Scientist,70940
Mishon Inc,Remote,Data Scientist,83200
Innovation Credit Union,Canada,Data Scientist,92629
eHealth Saskatchewan,Regina SK,Data Scientist,95815
Staffinity Inc.,None,Data Scientist - Sports Analytics,100000
Amazon Web Services Canada In,Ontario,Applied Science Intern - Speech Technologies Computer Visio...,118643
Dawn InfoTek Inc.,Toronto ON,Data Scientist,124800
Dawn InfoTek Inc.,Toronto ON,Data Scientist,124800
TEKsystems,None,Jr Data Scientist,65938
Procom,None,Data Scientist - 307900,65938
[24]7.ai,"Toronto, ON",Data Science Intern,65938
Summatti,"Waterloo, ON",Data Scientist Coop,65938
Grey Owl Engineering,"Calgary, AB",Data Scientist/Analyst – Summer Placement,65938
CNOOC International,"Calgary, AB",Data Scientist / Data Science Engineer,65938
Nestle,"Montréal, QC",Data Analyst B2B Intern,65938
Alberta Energy Regulator,"Calgary, AB","Student, Data Scientist",65938
Highwood Emissions Management Inc.,"Calgary, AB",Data Scientist,65938
Absorb LMS,"Calgary, AB",Applied Data Scientist,65938
Koho,"Toronto, ON",Data Scientist,65938
SkipTheDishes,"Calgary, AB",Data Scientist,65938
Telesat,"Ottawa, ON",Data Scientist,65938
BC Public Service,"Victoria, BC",BAND 2 - Senior Data Scientist,65938
Carta,"Waterloo, ON",Product Data Scientist,65938
MobSquad,"Calgary, AB",Data Scientist,65938
Electrical Safety Authority,"Mississauga, ON",Data Scientist,65938
Scotiabank,"Toronto, ON",Contract - Data Scientist,65938
Air Liquide,"Quebec City, QC",Data Science Associate - Montreal,65938
Prenuvo Inc,Remote,Machine Learning Applied Scientist,65938
Uken Games,"Toronto, ON",Data Scientist,65938
Minevest Ltd.,"Toronto, ON",Data Scientist Intern,65938
SomaDetect,"Kitchener, ON",Data Scientist,65938
Associated Engineering Group of Companies,"Calgary, AB",Climate Data Scientist,65938
SkipTheDishes,"Calgary, AB",Data Scientist,65938
BASF,"Mississauga, ON",Data Scientist Engineer,65938
Loblaw Digital,"Toronto, ON",Data Scientist (Growth & Marketing),65938
Yelp,"Vancouver, BC",Applied Scientist (Remote),65938
TELUS,"Edmonton, AB",Data Analysts,65938
Kezber,"Drummondville, QC",DATA SCIENTIST,65938
Maxa AI,"Montréal, QC",Data Scientist,65938
MobSquad,"Calgary, AB",Data Scientist,65938
Clearbridge Mobile,"Toronto, ON",Machine Learning Engineer,65938
The University of Calgary,"Calgary, AB","Data Scientist, Community Health Sciences, Cumming School of...",65938
Zynga,"Toronto, ON",Data Scientist 3,65938
Rock FOC Technology,"Windsor, ON",Data Scientist,65938
Pani Energy Inc,"Victoria, BC",Data Scientist,65938
Telesat,"Ottawa, ON",Data Scientist,65938
Microsoft,"Vancouver, BC",Data & Applied Scientist 2,65938
IFS,"Ottawa, ON",Senior Data Scientist,65938
Clearbridge Mobile,"Toronto, ON",Machine Learning Engineer,65938
Oracle,"Toronto, ON",Principal Data Scientist,65938
Pivotree,"Kanata, ON",Jr. Data Scientist,65938
BASF,"Mississauga, ON",Data Scientist Engineer,65938
Opencare,Remote,"Data Analyst, Co-op (4-8 months) - Summer 2021",65938
Peritus.ai,"Montréal, QC",Data Scientist,65938
The University of Calgary,"Calgary, AB","Data Scientist, Community Health Sciences, Cumming School of...",65938
Guestlogix,Remote,Data Scientist,65938
MSi Corp (Bell Canada),"Quebec City, QC",BI Developer,65938
PointClickCare,Remote,Data Scientist,65938
Deepcell,"Mountain View, AB",Research Data Scientist,65938
Hach,"Vancouver, BC",Aquatic Informatics - Sr. Data Scientist,65938
IBM,"Toronto, ON",Machine Learning Engineer Intern (4 months),65938
Power Factors,Remote,"Data Scientist, Solar & Storage (Remote)",65938
Pivotree,"Kanata, ON",Jr. Data Scientist,65938
Yelp,"Toronto, ON",Data Scientist (Remote),65938
Amazon Dev Centre Canada ULC,"Vancouver, BC",Decision Scientist - Devices,65938
Grant Thornton,"Toronto, ON",Data Scientist,65938
Maxa AI,"Montréal, QC",Data Scientist,65938
OSL Retail Services Inc,"Mississauga, ON",Data Scientist,65938
Oracle,"Toronto, ON",Principal Data Scientist,65938
Veeva Systems,"Toronto, ON",Senior Data Scientist,65938
Charger Logistics Inc.,None,Senior Data Analyst,65938
