Company,Location,Title,Salary
Alberta Machine Intelligence Institute,None,Machine Learning Intern,15240
ProCogia,None,Clinical Trial Data Science Consultant,25000
MSi Corp (Bell Canada,Montréal QC,Data Scientist,36400
Sryas Inc.,Toronto ON,Data Analyst,42500
Nidish LLC,Remote,Data Scientist,46800
MSi Corp (Bell Canada,Toronto ON,Conversation Designers,52000
MSi Corp (Bell Canada,Toronto ON,Conversation Designers,52000
DMG BLOCKCHAIN SOLUTIONS,Vancouver BC,Junior Data Scientist,54000
IDES CANADA INC,Whitchurch-Stouffville ON,Machine Learning Engineer/Data Scientist,65000
UBC Master of Data Science,None,Postdoctoral Fellow–UBC Master of Data Science program,85000
Staffinity Inc.,None,Data Scientist/Machine Learning Engineer,100000
Staffinity Inc.,None,Data Scientist/Machine Learning Engineer,100000
Staffinity Inc.,None,Data Scientist/Machine Learning Engineer,100000
Staffinity Inc.,None,Data Scientist/Machine Learning Engineer,100000
ThisFish Inc.,None,R&D Engineer (Data Science & Machine Learning,102500
Canadian Security Intelligence Service,Ottawa ON,Data Scientist,105705
ZeroKey,Calgary AB,Senior Applied Research Scientist,112500
Aviva,"Markham, ON",Data Scientist,70273
Ubisoft,"Montréal, QC",Data Scientist Assistant – Business (6 month minimum),70273
SickKids,"Toronto, ON",Data Scientist/Bioinformatician,70273
Scotiabank,"Toronto, ON",Data Scientist,70273
Loblaw Companies Limited,"Brampton, ON",Sr. Data Scientist,70273
BC Public Service,"Victoria, BC",RES O 24R - Data Scientist,70273
Two Hat,"Kelowna, BC",Data Scientist,70273
Microsoft,"Vancouver, BC",Data Scientist,70273
DataRobot,"Toronto, ON",Customer Facing Data Scientist,70273
CGI Inc,"Ottawa, ON",Data Scientist,70273
Twitter,"Toronto, ON",Staff Data Scientist - Interests,70273
Bayer,"Mississauga, ON",Data Scientist,70273
Infostrux Solutions,"Quebec City, QC","Data Scientist, Remote",70273
BMO Financial Group,"Toronto, ON",Data Scientist,70273
Yelp,"Toronto, ON",Data Scientist (Remote),70273
Microsoft,"Vancouver, BC",Data & Applied Scientist 2,70273
Temetrix,"Ottawa, ON",DATA SCIENTIST,70273
Randstad,None,Junior Data Analytical Specialist/Scientist - Toronto,70273
Randstad,None,Intermediate Data Scientist - Toronto,70273
Loblaw Companies Limited,"Brampton, ON",Sr. Data Scientist,70273
Sonova,"Kitchener, ON",Data Scientist,70273
EnPowered,"Kitchener, ON",Data Scientist,70273
BRP,"Valcourt, QC",Data Scientist,70273
Cardinal Path,"Toronto, ON",Data Scientist,70273
The Chapman Group,"Fredericton, NB",Data Analyst,70273
Aviva,"Markham, ON",Product Manager – Data Science,70273
Nakisa,"Montréal, QC",Data Scientist,70273
Randstad,None,Junior Data Analytical Specialist/Scientist - Toronto,70273
Qool Media Holdings,"Venice, AB","Principal Data Scientist, Programmatic Bidding",70273
Ontario Medical Association,"Toronto, ON",Data Scientist,70273
Randstad,None,Intermediate Data Scientist - Toronto,70273
Rogers Communications,"Toronto, ON","Senior Data Scientist, Customer Data",70273
METRIO,"Montréal, QC",Data Scientist,70273
Nextdoor,"Toronto, ON",Data Scientist - Member Experience,70273
BOEING,"Vancouver, BC",Senior Data Scientist,70273
Zesty.ai,"Montréal, QC",Data Scientist (Machine Learning),70273
Scotiabank,"Toronto, ON",Senior Data Scientist,70273
Pelmorex Corp,"Toronto, ON",Data Scientist,70273
MobSquad,"Calgary, AB",Data Scientist,70273
Zynga,"Toronto, ON",Data Scientist 2,70273
