Title,Location,Company,Salary
Data Scientist,None,Neelands,None
Data Scientist (Summer Intern),None,Dunroe,$15 an hour
"Data Scientist/Engineer, Decision Analytics",None,The Home Depot Canada,None
Data Analytical Specialist/Scientist - 308493,None,Procom,None
Data Scientist - Sports Analytics,None,Staffinity Inc.,"$80,000 - $120,000 a year"
Data Scientist,"Regina, SK",eHealth Saskatchewan,$41.56 - $50.57 an hour
Data Science Associate - Montreal,"Quebec City, QC",Air Liquide,None
Data Scientist,"Toronto, ON",Koho,None
Optimization Specialist - Data Scientist,None,Myticas Consulting ULC,None
Data Scientist,"Calgary, AB",Cybera,None
"Data Scientist, Remote","Quebec City, QC",Infostrux Solutions,None
Data Scientist,Remote,Mishon Inc,$35 - $45 an hour
Data Scientist / Data Science Engineer,"Calgary, AB",CNOOC International,None
Data Science Intern,"Toronto, ON",[24]7.ai,None
Data Scientist,"Niagara, ON",Niagara Region,"$77,200 - $90,820 a year"
"Data Scientist: Pricing, Fraud, Monetization","London, ON",Digital Extremes,None
Data Scientist,"Toronto, ON",Scotiabank,None
Data Scientist Coop,"Waterloo, ON",Summatti,None
DATA SCIENTIST,"Ottawa, ON",Temetrix,None
"Data Scientist, Remote","Quebec City, QC",Infostrux Solutions,None
Senior Data Analytical Specialist/Scientist,"Toronto, ON",IQ Hunt,None
Data Scientist / Senior Data Scientist,"Toronto, ON",StackAdapt,None
Data Scientist,Canada,Hopper,None
Data Analyst B2B Intern,"Montréal, QC",Nestle,None
Data Scientist Engineer,"Mississauga, ON",BASF,None
"Data Analyst, Co-op (4-8 months) - Summer 2021",Remote,Opencare,None
Senior Data Analyst,"Calgary, AB",Bold Commerce,None
"Data Scientist, Fraud Operations","Vancouver, BC",Axiom Zen,None
Student Data Scientist,Nova Scotia,SimpTek Technologies,None
Data Analysts,"Edmonton, AB",TELUS,None
Data Scientist,"Markham, ON",Opta Information Intelligence Corp.,None
Data Scientist,"Calgary, AB",SkipTheDishes,None
Data Scientist,"Victoria, BC",Pani Energy Inc,None
DATA SCIENTIST,"Ottawa, ON",Temetrix,None
Applied Scientist (Remote),"Vancouver, BC",Yelp,None
"Data Analyst, Co-op (4-8 months) - Summer 2021",Remote,Opencare,None
Data Scientist - Commercial Analytics,"Toronto, ON",Veeva Systems,None
Data Scientist,Remote,Guestlogix,None
"Data Scientist, Modelling & Segmentation","Toronto, ON",Scotiabank,None
Climate Data Scientist,"Calgary, AB",Associated Engineering Group of Companies,None
Data Scientist I,"Montréal, QC",TD Bank,None
Data Scientist,"Kelowna, BC",Two Hat,None
Data Scientist (Machine Learning),"Montréal, QC",Zesty.ai,None
Applied Data Scientist,"Oakville, ON",Geotab,None
Data Scientist,"Oakville, ON",Geotab,None
Data Scientist - Innovation & Attributes,"Toronto, ON",Equifax,None
Research Coordinator I - Data Science & Advanced Analytics,"Toronto, ON",St. Michael's Hospital,None
Senior Data Scientist,"National Capital Region, ON",Infinity Technology,None
Jr. Data Scientist,"Kanata, ON",Pivotree,None
Data Scientist,"Mississauga, ON",OSL Retail Services Inc,None
Data Scientist,Ontario,Auvik Networks,None
Principal Data Scientist,Remote,Innovyze,None
Data Scientist,"Brampton, ON",Loblaw Companies Limited,None
Data Scientist,"Kitchener, ON",Sonova,None
Data Analyst,"Toronto, ON",Uken Games,None
"Senior Data Scientist, Artificial Intelligence Research","Toronto, ON",Verus Analytics,None
Data Scientist,"Montréal, QC",Peritus.ai,None
Data Science Instructor,"Toronto, ON",Juno College,"$70,000 - $85,000 a year"
Data Scientist,Remote,PointClickCare,None
Principal Data Scientist,"Toronto, ON",QUESTRADE INC,None
Senior Data Scientist,"Ottawa, ON",IFS,None
Data Scientist - EA SPORTS Security,"Vancouver, BC",Electronic Arts,None
Data Scientist,"Vancouver, BC",Microsoft,None
