Title,Location,Company,Salary
Big Data Analyst,"Toronto, ON",AstraNorth,None
Business Analyst,"Edmonton, AB",Government of Alberta,"$5,228 - $6,857 a month"
Workday Analyst,None,Morneau Shepell,None
Data Analyst,"Toronto, ON",Oculus Info Inc,None
Research Analyst,"Toronto, ON",ICES Central,None
IT Business Analyst,"Calgary, AB",SkyIT Services Ltd.,$16 - $20 an hour
Game Data Analyst,Remote,Eastside Games,None
Data Analyst - Business Intelligence,"Thunder Bay, ON",North American Palladium,None
Business Intelligence Analyst,"Montréal, QC",Merchant North,None
Data Management Business Analyst,"Dorval, QC",Bombardier,None
Workforce Management and Business Analyst,"Calgary, AB",Mayfair Diagnostics,None
Data Analyst,Canada,Hopper,None
Global Process Engineer - Data Analyst,"Florenceville-Bristol, NB",McCain Foods (Canada),None
Programmer Analyst (Java - Big Data),"Montréal, QC",Ubisoft,None
Data Management Business Analyst,"Dorval, QC",Bombardier,None
Data Analyst - Immunology,"Montréal, QC",Caprion,None
STO 21R - GIS Analyst,"Prince George, BC",BC Public Service,None
Senior Data Analyst,"Vancouver, BC",MasterCard,None
Data Analyst,"Toronto, ON",Oculus Info Inc,None
BI Analyst,"Toronto, ON",JLL,None
Senior Data Analyst,"Toronto, ON",SADA,None
Inventory Analyst,"Milton, ON",Modatek Systems,$22.55 an hour
"Data Analyst Co-op Student - Richmond, B.C. - R09791","Richmond, BC",MDA,None
Product Analyst,"Vancouver, BC",EY,None
Data Analyst - Business Intelligence,"Thunder Bay, ON",North American Palladium,None
Customer Care Reporting Analyst,"Fredericton, NB",Xplornet Communications Inc.,None
Data Warehouse Analyst,"Saint John, NB",JDI IT,None
Data Systems Analyst,"Etobicoke, ON",Moneris Solutions Corporation,None
RES O 24R - Senior Data Analyst,"Victoria, BC",BC Public Service,None
Business Intelligence Analyst,"Montréal, QC",Merchant North,None
"Technical analyst, cryptocurrency markets","Toronto, ON",CMCC Global,"$30,000 - $50,000 a year"
IT Business Analyst,"Calgary, AB",SkyIT Services Ltd.,$16 - $20 an hour
BI Analyst,"Toronto, ON",JLL,None
Global Process Engineer - Data Analyst,"Florenceville-Bristol, NB",McCain Foods (Canada),None
Business Analyst,"Oakville, ON",Spark Power Corp,None
"Stagiaire - Analyste, assurances M&A - été 2021 // M&A Insur...","Montréal, QC",BFL Canada,None
Research Analyst,"Toronto, ON",ICES Central,None
Data Management Business Analyst,"Dorval, QC",Bombardier,None
Market Research Analyst,None,Data Sciences,"$52,000 - $62,000 a year"
Business Analyst,None,Western Financial Group,None
Sales Data Analyst,None,Dermalogica,"$75,000 - $100,000 a year"
Data Analyst,None,Parmida E-commerce,"$45,000 a year"
Marketing Data Analyst,None,BC Hydro,None
Co-op and Career Path Student - Asset Management Data Analys...,"Kelowna, BC",City of Kelowna,$23.48 an hour
"Analyst, Securitization",None,Fairstone,None
STO 21R - GIS Analyst,"Prince George, BC",BC Public Service,None
database analyst,"Brampton, ON",Tamarack Freight LTD,$39 an hour
CRM Data Analyst,None,7-Eleven Canada,None
Data Analyst (Knowledge Mobilization),"Toronto, ON",Students Commission of Canada,None
Systems Analyst,"Thunder Bay, ON",Health EFX,None
Financial Crime Data Analyst (Maternity Cover),"Legal, AB",Paysafe Group,None
Senior Data Analyst,"Montréal, QC",Behavox,None
Business Analyst (ServiceNow) (Temporary) (SK),"Regina, SK",ISM Canada,"$2,536 a month"
Analyste de données / Data Analyst,"Montréal, QC",Square Enix Montréal,None
Pipeline Inline-Inspection Data Analyst (ILI Level 2-3),"Calgary, AB",Onstream Pipeline Inspection Services Inc.,None
"Summer Intern, Market Data Analyst","Toronto, ON",TMX Group Limited,None
Human Resources Business Analyst,"Yellowknife, NT",Government of the Northwest Territories,"$92,000 - $111,000 a year"
Business Intelligence Developer,None,BizXcel Inc.,"$50,000 - $80,000 a year"
