Company,Location,Title,Salary
Save-On-Foods,"Langley, BC",Machine Learning Engineer,83957
Electronic Arts,"Vancouver, BC",Corporate Strategy Data Science Intern (Summer 2021),83957
Blackline Safety,"Calgary, AB",QA Data Analyst,83957
Belcan,None,Data Scientist,83957
Coursera,"Toronto, ON","Senior Data Scientist, Machine Learning",83957
MightyHive,"Toronto, ON",Intern - Data Science,83957
TalentSphere Staffing Solutions,None,Data Scientist,83957
SOTI Inc.,"Mississauga, ON",Senior Data Scientist,83957
Tonal,"Toronto, ON","Senior Data Scientist TORONTO, ONSOFTWARE",83957
Teck Resources Limited,"Vancouver, BC",Senior Data Scientist - RACE21,83957
Vector Institute,"Toronto, ON",Applied Machine Learning Intern,83957
Altus Group,"Toronto, ON",Data Scientist,83957
Chisel AI,"Toronto, ON",Machine Learning Scientist,83957
Stradigi AI,"Montréal, QC",Data Scientist,83957
PwC,"Toronto, ON","Deals, Data Analytics Generalist, Associate",83957
McKinsey & Company,"Montréal, QC",Senior Data Scientist - QuantumBlack,83957
Vendasta,"Saskatoon, SK",Manager of Data Science,83957
Brookfield Asset Management,"Toronto, ON",Data Analyst,83957
Hach,"Vancouver, BC",Data Science Co-op,83957
IMRSV Data Labs,"Ottawa, ON",Machine Learning Engineer,83957
TalentSphere Staffing Solutions,None,Data Scientist,83957
CorTech,None,Data Scientist,83957
Infinity Technology,"National Capital Region, ON",Senior Data Scientist,83957
Yelp,Remote,Software Engineer - Big Data (Remote),83957
McAfee,"Toronto, ON",Senior Data Scientist - Experimentation,83957
AOMS Technologies Inc.,"Toronto, ON",Data Science Intern,83957
The Valens Company Inc,"Kelowna, BC",Senior Data Analyst,83957
Affirm,Ontario,Pricing Analytics Sr Analyst,83957
Emerge Knowledge Design Inc.,"Winnipeg, MB",Data Analyst,83957
Qool Media Holdings,"Venice, AB","Principal Data Scientist, Lead Generation",83957
Nuance,"Montréal, QC",Chercheur Stagiaire (Été 2021) - NLP - Research Intern (Summ...,83957
Tucows,Ontario,Senior Data Analyst - Remote,83957
Tetra Tech,"Edmonton, AB",Machine Learning Developer,83957
BMO Financial Group,"Toronto, ON","Manager Analytics, Strategy",83957
iQmetrix,"Vancouver, BC",Product Manager Data & Analytics,83957
Yelp,Remote,Technical Program Manager - Applied Machine Learning (Remote...,83957
Perpetua Labs,"Toronto, ON",Data Science Engineer,83957
Deloitte,"Toronto, ON","SAP - Data & AI Specialist, Omnia AI",83957
Deloitte,"Toronto, ON",Machine Learning Operations (ML Ops) Engineer,83957
Rogers Communications,None,"Sr Data Analyst, DTC",83957
Achievers,"Toronto, ON",Data Scientist,83957
Electronic Arts,"Vancouver, BC",Senior Data Scientist - EA SPORTS Security,83957
Antuit,Remote,Senior AI / ML Scientist,83957
TalentSphere Staffing Solutions,None,Data Scientist,83957
Prodigy Game,None,"Data Science Manager, Memberships Modelling",83957
Xero,"Toronto, ON",Senior Applied Scientist - Machine Learning Products,83957
Enterprise Solutions Inc,None,Data Analytics,83957
TD Bank,"Toronto, ON",ML Engineer - Framework,83957
CorTech,None,Data Scientist,83957
Morgan Stanley,"Montréal, QC",Machine Learning Engineering Specialist 3165846,83957
First Nations Health Authority,Canada,"Regional Senior Data Analyst - 2 Year Term - (Prince George,...",83957
Aspect Biosystems,"Vancouver, BC",Machine Learning Engineer,83957
Yorkville University,None,"Senior Analyst, Strategy & Analytics",83957
Benevity,None,"VP, Analytics & Insights",83957
Amazon Dev Centre Canada ULC,"Vancouver, BC",Applied Scientist II,83957
O2E Brands,"Vancouver, BC",Senior Data Analyst - O2E Brands,83957
Noise,"Vancouver, BC",Business/Data Analyst,83957
Electronic Arts,"Vancouver, BC",Corporate Strategy Data Science Intern (Summer 2021),83957
BC Public Service,"Vernon, BC",STO 21R - GIS Data Analyst,83957
Replicant,"Toronto, ON",Machine Learning Engineer,83957
Infinity Technology,"National Capital Region, ON",Data Scientist,83957
