Title,Location,Company,Salary
Data Scientist,None,Neelands,None
Data Scientist,None,Sécurité XGuard,None
"Data Scientist, Memberships Modelling",None,Prodigy Game,None
Data Scientist,None,Plus10,"$170,000 a year"
Data Analytical Specialist/Scientist - 308493,None,Procom,None
Data Scientist - Risk Scoring,"Montréal, QC",Jumio Corporation,None
Data Scientist,"Toronto, ON",Black Professionals in Tech Network,None
Data Scientist,"Montréal, QC",Ubisoft,None
Data Scientist,"London, ON",LSEG (London Stock Exchange Group),None
Data Scientist,"Mississauga, ON",Roche,None
Data Scientist / Data Science Engineer,"Calgary, AB",CNOOC International,None
Data Scientist Intern,"Montréal, QC",Thales Group,None
Data Scientist,"Toronto, ON",Loopio,None
Pricing Data Scientist,"Montréal, QC",Sonder,None
Data Science Intern,"Toronto, ON",[24]7.ai,None
Data Scientist,"London, ON",Summatti,None
Central Data Scientist,Remote,PRA Health Sciences,None
Applied Scientist - Machine Learning Products,"Toronto, ON",Xero,None
"Data Scientist, Remote","Quebec City, QC",Infostrux Solutions,None
Data Scientist,"Kitchener, ON",SomaDetect,None
Data Scientist,"Toronto, ON",Koho,None
Data Scientist,Remote,Mishon Inc,$35 - $45 an hour
Data Scientist,"Windsor, ON",Rock FOC Technology,None
Data Scientist,Canada,Hopper,None
Data Scientist,"Victoria, BC",Pani Energy Inc,None
Data Scientist / Engineer,"Toronto, ON","LotusFlare, Inc.",None
DATA SCIENTIST,"Drummondville, QC",Kezber,None
Data Scientist I,"Montréal, QC",TD Bank,None
Staff Data Scientist (Remote),Remote,Jungle Scout,None
Data Scientist,Canada,Innovation Credit Union,"$82,338 - $102,921 a year"
Senior Data Scientist – Healthtech company,"Montréal, QC",Groom & Associes,None
Student Data Scientist,Nova Scotia,SimpTek Technologies,None
Data Scientist,"Calgary, AB",MobSquad,None
Jr. Data Scientist,"Kanata, ON",Pivotree,None
"Data Scientist, Modelling & Segmentation","Toronto, ON",Scotiabank,None
Senior Data Analyst,"Montréal, QC",Autodesk,None
Data Science Intern (1 year contract),"Woodbridge, ON",407 ETR,None
Data Science,Canada,Cyber Chasse,None
Data Scientist,"Ottawa, ON",Telesat,None
Senior Data Scientist,"Toronto, ON",RBC,None
"Senior Director-Knowledge, Data Analytics and Insights","Ottawa, ON",Canadian Red Cross,None
Data Scientist (Machine Learning),"Montréal, QC",Zesty.ai,None
Data Scientist Intern,"Vaughan, ON",Minevest Ltd.,None
Data Scientist Coop,"Waterloo, ON",Summatti,None
Data Analyst,"Vancouver, BC",ClickDishes Inc.,"$52,000 - $60,000 a year"
"Data Scientist, Analytics & Insights","Mississauga, ON",World Vision Canada,None
Data Scientist,"Toronto, ON",Overbond,None
Research Coordinator I - Data Science & Advanced Analytics,"Toronto, ON",St. Michael's Hospital,None
Machine Learning Engineer,"Toronto, ON",Loopio,None
Data Scientist,Remote,Guestlogix,None
Data Scientist,"Kelowna, BC",Two Hat,None
AI/ML Engineer,"Montréal, QC",Jumio Corporation,None
Data Engineer,"Toronto, ON",ELEMENTS Global Services,None
Data Science Instructor,"Lethbridge, AB",University of Lethbridge,None
Data Scientist,"Calgary, AB",SkipTheDishes,None
Principal Data Scientist,Remote,Innovyze,None
Data Scientist,Remote,PointClickCare,None
"Data Scientist, Fraud Operations","Vancouver, BC",Axiom Zen,None
Data Scientist / Senior Data Scientist,"Toronto, ON",StackAdapt,None
RES O 27R - Data Scientist,"100 Mile House, BC",BC Public Service,None
Senior Data Scientist - PhD,"Toronto, ON",GHD,None
Data Science Instructor,"Toronto, ON",Juno College of Technology,"$70,000 - $85,000 a year"
Senior Data Analyst,"Montréal, QC",Mistplay,None
Data Scientist I,"Montréal, QC",TD Bank,None
Scientifique des données / Data Scientist,"Saint-Laurent, QC",CAE Inc.,None
Principal Data Scientist,Remote,Innovyze,None
Data Scientist,"Calgary, AB",Cybera,None
Lead Data Scientist,"Toronto, ON",Kainos,None
Data Scientist,"Kitchener, ON",Sonova,None
Product Data Scientist,"Montréal, QC",District M,None
"Data & Analytics - Senior Manager, Analytics Engineering","Vancouver, BC",Aritzia,None
Data Science Instructor,"Lethbridge, AB",University of Lethbridge,None
"Team Leader, Data Analytics","Saint John, NB",Kent Building Supplies,None
"Senior Associate, Data Analyst","Toronto, ON",Capital One,None
Data Scientist,Remote,Guestlogix,None
Data Analytical Specialist/Scientist- Senior,"Toronto, ON",Isheva Inc,$85 an hour
Data Scientist (AI/ML),Remote,OGGN Inc.,None
"Assistant Professor, Applied Data Science, Faculty of Scienc...","Calgary, AB",The University of Calgary,None
Software Engineer - Machine Learning (Remote),"Calgary, AB",Yelp,None
Data Scientist,"Vancouver, BC",Apply Digital,None
Senior Applied Data Scientist,Canada,Best Buy,None
"Data Scientist, Shopping","Toronto, ON",Pinterest,None
Data Scientist - Insights,"Montréal, QC",SSENSE,None
Controls Machine Learning/AI Data Scientist,"Toronto, ON",BMO Financial Group,None
Principal Data Scientist,"Toronto, ON",Veeva Systems,None
Business Intelligence Specialist,"Mississauga, ON",Roche,None
Data Scientist - Commercial Analytics,"Toronto, ON",Veeva Systems,None
"Director, Data Analytics","Burnaby, BC",Ritchie Bros.,None
