Company,Location,Title,Salary
Dunroe,None,Data Scientist (Summer Intern,15600
Dunroe,None,Data Scientist (Summer Intern,15600
Dunroe,None,Data Scientist (Summer Intern,15600
Dunroe,None,Data Scientist (Summer Intern,15600
Dunroe,None,Data Scientist (Summer Intern,15600
RVezy,Ottawa ON,Jr. Data Scientist (Summer Student,26000
Legacy Leaders Inc,None,Data Scientist Intern,40560
PHSA,None,Business Intelligence Data Developer,41256
PHSA,None,Business Intelligence Data Developer,41256
Government of Canada,Montréal QC,Data Scientist Intern,53040
W.I.T.H. Digital,Dollard-Des Ormeaux QC,Data Scientist,60000
Aqua Silva Resource Management Ltd.,Langley BC,Intermediate Applied Scientist,70940
BC Pension Corporation,Victoria BC,Data Analyst,75922
Niagara Region,Niagara ON,Data Scientist,84010
Mastech InfoTrellis,Ottawa ON,Data Scientist,88452
Canadian Security Intelligence Service,Ottawa ON,Data Scientist,105705
Canadian Security Intelligence Service,Ottawa ON,Data Scientist,105705
Dawn InfoTek Inc.,Toronto ON,Data Scientist,124800
TELUS,None,Data Analyst/Engineer,161200
TELUS,None,Data Analyst/Engineer,161200
Summatti,"Waterloo, ON",Data Scientist Coop,65902
Grey Owl Engineering,"Calgary, AB",Data Scientist/Analyst – Summer Placement,65902
Alberta Energy Regulator,"Calgary, AB","Student, Data Scientist",65902
CNOOC International,"Calgary, AB",Data Scientist / Data Science Engineer,65902
"AMZN CAN Fulfillment Svcs, ULC","Vancouver, BC",Data Scientist,65902
Calligo,"Oakville, ON",Jr. Data Scientist,65902
Highwood Emissions Management Inc.,"Calgary, AB",Data Scientist,65902
Koho,"Toronto, ON",Data Scientist,65902
CryptoKitties,"Vancouver, BC","Data Scientist, Fraud Operations",65902
Summatti,"London, ON",Data Scientist,65902
Axiom Zen,"Vancouver, BC","Data Scientist, Fraud Operations",65902
Prenuvo Inc,Remote,Machine Learning Applied Scientist,65902
SkipTheDishes,"Calgary, AB",Data Scientist,65902
Electrical Safety Authority,"Mississauga, ON",Data Scientist,65902
Carta,"Waterloo, ON",Product Data Scientist,65902
MobSquad,"Calgary, AB",Data Scientist,65902
Minevest Ltd.,"Toronto, ON",Data Scientist Intern,65902
Aviva,"Toronto, ON",Data Scientist,65902
Locus Systems Inc.,"Toronto, ON",Data Analytical Specialist/ Scientist,65902
Novisto,"Montréal, QC",Data Scientist,65902
Zynga,"Toronto, ON",Data Scientist 3,65902
Kinaxis,"Toronto, ON",Data Scientist,65902
Associated Engineering Group of Companies,"Calgary, AB",Climate Data Scientist,65902
Opta Information Intelligence Corp.,"Markham, ON",Data Scientist,65902
Opencare,Remote,"Data Analyst, Co-op (4-8 months) - Summer 2021",65902
Pani Energy Inc,"Victoria, BC",Data Scientist,65902
Cyber Chasse,Canada,Data Science,65902
Temetrix,"Ottawa, ON",DATA SCIENTIST,65902
TD Bank,"Montréal, QC",Data Scientist I,65902
Two Hat,"Kelowna, BC",Data Scientist,65902
"AMZN CAN Fulfillment Svcs, ULC","Toronto, ON",Applied Scientist,65902
Integra Data & Analytic Solutions,"Calgary, AB",DATA SCIENTIST,65902
Vendasta,"Saskatoon, SK",Senior Data Analyst,65902
Kezber,"Drummondville, QC",DATA SCIENTIST,65902
TalentSphere Staffing Solutions,None,Sr. Data Scientist,65902
Veeva Systems,"Toronto, ON",Data Scientist - Commercial Analytics,65902
Oracle,"Toronto, ON",Principal Data Scientist,65902
Loblaw Companies Limited,"Brampton, ON",Data science analyst,65902
Uken Games,"Toronto, ON",Data Analyst,65902
Facebook,Remote,Engineer - Machine Learning | Ingénieur logiciel - Apprentis...,65902
National Bank of Canada,"Montréal, QC",Senior Data scientist,65902
Guestlogix,Remote,Data Scientist,65902
SimpTek Technologies,Nova Scotia,Student Data Scientist,65902
METRIO,"Montréal, QC",Data Scientist,65902
Veeva Systems,"Toronto, ON",Principal Data Scientist,65902
Pivotree,"Kanata, ON",Jr. Data Scientist,65902
Hach,"Vancouver, BC",Aquatic Informatics - Sr. Data Scientist,65902
McAfee,"Waterloo, ON",Sr. Data Scientist - Experimentation,65902
Deepcell,"Mountain View, AB",Research Data Scientist,65902
IBM,"Ottawa, ON",Data Scientist and Managing Strategy Consultant,65902
Microsoft,"Vancouver, BC",Data & Applied Scientist 2,65902
Veeva Systems,"Toronto, ON",Senior Data Scientist,65902
SomaDetect,"Kitchener, ON",Data Scientist,65902
Prodigy Game,"Oakville, ON","Data Scientist, Memberships Modelling",65902
BCLC,"Kamloops, BC",Senior Data Analyst (Enterprise Data Warehouse Developer),65902
BC Public Service,"Victoria, BC",RES O 27R - Data Scientist AMENDED,65902
Neelands,"Burlington, ON",Data Scientist,65902
IBM,"Calgary, AB",Machine Learning Developer Intern (4 months),65902
