Company,Location,Title,Salary
RVezy,Ottawa ON,Jr. Data Scientist (Summer Student,26000
RVezy,Ottawa ON,Jr. Data Scientist (Summer Student,26000
Sryas Inc.,Toronto ON,Data Analyst,42500
BC Pension Corporation,Victoria BC,Data Analyst,75922
Juno College of Technology,Toronto ON,Data Science Instructor,77500
Niagara Region,Niagara ON,Data Scientist,84010
Plus10,None,Data Scientist,85000
Plus10,None,Data Scientist,85000
Mastech InfoTrellis,Ottawa ON,Data Scientist,88452
PulseMedica,Edmonton AB,Machine Learning Engineer,89187
PulseMedica,Edmonton AB,Machine Learning Engineer,89187
eHealth Saskatchewan,Regina SK,Data Scientist,95815
Dawn InfoTek Inc.,Toronto ON,Data Scientist,124800
Journey Education,Canada,Data Science Instructor,144000
Robert Half,None,Senior Business Analyst/ Data Analyst,156000
Sécurité XGuard,None,Data Scientist,85958
Neelands,None,Data Scientist,85958
Myticas Consulting ULC,None,Optimization Specialist - Data Scientist,85958
Procom,None,Data Analytical Specialist/Scientist - 308493,85958
Loopio,"Toronto, ON",Data Scientist,85958
Air Liquide,"Quebec City, QC",Data Science Associate - Montreal,85958
Thales Group,"Montréal, QC",Data Scientist Intern,85958
Ubisoft,"Montréal, QC",Data Scientist,85958
RBC,"Toronto, ON",Data Scientist,85958
PRA Health Sciences,Remote,Central Data Scientist,85958
CNOOC International,"Calgary, AB",Data Scientist / Data Science Engineer,85958
Koho,"Toronto, ON",Data Scientist,85958
ELEMENTS Global Services,"Toronto, ON",Data Engineer,85958
Cymax Group,"Vancouver, BC",Intermediate Data Scientist,85958
Kronos Incorporated,"Mississauga, ON",College Intern - Data Science (Canada),85958
Locus Systems Inc.,"Toronto, ON",Data Analytical Specialist/ Scientist,85958
CryptoKitties,"Vancouver, BC","Data Scientist, Fraud Operations",85958
"LotusFlare, Inc.","Toronto, ON",Data Scientist / Engineer,85958
World Vision Canada,"Mississauga, ON","Data Scientist, Analytics & Insights",85958
Big Viking Games,Ontario,Data Analyst,85958
Rock FOC Technology,"Windsor, ON",Data Scientist,85958
SimpTek Technologies,Nova Scotia,Student Data Scientist,85958
Maxa AI,"Montréal, QC",Data Scientist,85958
Kainos,"Toronto, ON",Lead Data Scientist,85958
Groom & Associes,"Montréal, QC",Senior Data Scientist – Healthtech company,85958
SkipTheDishes,"Calgary, AB",Data Scientist,85958
Scotiabank,"Toronto, ON",Data Scientist,85958
Innovyze,Remote,Principal Data Scientist,85958
BusPatrol,"Montréal, QC",Scientifique de données / Data Scientist,85958
TD Bank,"Montréal, QC",Data Scientist I,85958
