Title,Location,Company,Salary
Reporting Data Analyst,None,Sun Life Financial,None
Data Systems Analyst,None,KTI Limited,None
Business Intelligence Data Eng. /Ing. de données Intelligenc...,None,Semex,"$55,000 a year"
Data Analyst,Ontario,Big Viking Games,None
Data Analyst,"Montréal, QC",DRW Trading Group,None
Data Analyst,"Fredericton, NB",Accreon Inc.,None
Data Analyst,"Montréal, QC",DRW,None
Clinical Data Analyst,Remote,Icon plc,None
Alteryx / Tableau Data Analyst,"Toronto, ON",CGI Inc,None
Kinesso - Data Analyst,"Toronto, ON",Kinesso,None
"Analyst, West Pricing & Merchandising","Calgary, AB",Loblaw Companies Limited,None
Data Analyst,"Saint John, NB",Woodlands Head Office,None
Data Analyst,"Toronto, ON",BIMM,None
Senior Data Analyst,None,Charger Logistics Inc.,None
Data Analyst and Coordinator,None,Enkel Backoffice Solutions Inc.,None
Data Analyst,None,Spirit Omega,None
Business Intelligence Analyst,None,PNI Digital Media,"$66,000 - $80,000 a year"
Data Insights & Business Analyst,Remote,PointClickCare,None
Data Analyst,"Vancouver, BC",Hothead Games,None
"Data Analyst - Manager, Policy & Programs",None,Impact Recruitment,"$75,000 - $85,000 a year"
Data Analyst,"Saskatoon, SK",Vendasta,None
Sr. Data Governance Analyst,"Calgary, AB",Petronas Canada,None
Data Analyst,"Toronto, ON",Uken Games,None
Data Insights Analyst - Intern,"Toronto, ON",eBay Inc.,None
"Analyst, Data Quality","Ottawa, ON",Canadian Institute for Health Information,None
"Analyst, Data Analysis and Insights","London, ON",Principles for Responsible Investment,None
"Data Analyst, Resource Optimization","Toronto, ON",Metrolinx,"$64,598 - $90,100 a year"
Data Analyst,"Mississauga, ON",Sinclair Dental Co Ltd,None
"Analyst, Systems","Ottawa, ON",Canada Post - Postes Canada,None
Developer Analyst - Analytics and Data Visualization,"Montréal, QC",National Bank of Canada,None
Data Analyst - 308616,None,Procom,None
Warehouse Operations Analyst,None,Atlantic Packaging Products Ltd.,None
IT Data Analyst,"Anjou, QC",Intact,None
Data Analyst,"Oakville, ON",Wiley,None
Data Science Analyst (Remote),"Toronto, ON",Yelp,None
Business/Data Analyst,"Mississauga, ON",Larsen & Toubro Infotech Limited,None
