Company,Location,Title,Salary
BDP CALL CENTER,None,Junior Data Analyst - Quebec Only,15600
BDP CALL CENTER,None,Junior Data Analyst - Quebec Only,15600
Brant County Health Unit,Brantford ON,Student - Data Analyst,18720
ITRAK 365,Calgary AB,software technical support analyst,19760
truLOCAL,None,Data Analyst,25000
truLOCAL,None,Data Analyst,25000
Canadian Global Immigration Consulting,Burnaby BC,Admin Data Analyst,26000
DNSSAB,North Bay ON,housing policy analyst,26877
BC Aboriginal Child Care Society,West Vancouver BC,Research and Data Analyst,27500
PHSA,Vancouver BC,Client Support Analyst - Research Genome Data Informatics BC...,35266
PHSA,Vancouver BC,Information Data Analyst,37429
Hamilton Health Sciences Corporation,Hamilton ON,Business Solution Analyst (Analytics,37720
ATOM AUTO PARTS,Markham ON,data analyst - informatics and systems,41600
Novitech Inc.,Vaughan ON,Data Analyst Trainee,42500
Novitech Inc.,Vaughan ON,Data Analyst Trainee,42500
Canadian Forces Morale and Welfare Services,Ottawa ON,IM/IT Senior Business Analyst,42585
Robert Half,None,Data Analyst,43118
RecallMax,None,Software UI Designer/ Data Analyst,46800
Q & A BP Consulting,Vaughan ON,Junior Data Analyst,47672
Comodo Interiors Inc.,Calgary AB,database analyst,48880
BreezeMaxWeb,Toronto ON,SEM Analyst,52000
ClickDishes Inc.,Vancouver BC,data analyst - informatics and systems,56000
Clarity.ca Inc.,None,Data Analyst,62500
Victoria Hospital,London ON,Temporary - Data Analyst Children's Outpatient Department,67995
Metro Vancouver,Burnaby BC,Regional Parks Research Analyst,69156
Ministry of Health,Kingston ON,PROGRAM ANALYST,77373
McGill University,Montréal QC,Data Analyst,78920
City of Vancouver,Vancouver BC,Data Analyst,82669
Ministry of Health,Toronto ON,HEALTH ANALYST,83892
Alcor Solutions Inc.,None,ServiceNow ITSM & Portal Business Analyst,85000
York Region,Newmarket ON,Statistical Program Data Analyst,88108
City of Edmonton,Edmonton AB,Strategy Team Data Analyst (Methods Analyst I,90552
Yukon Government,Whitehorse YT,Policy Analyst,92078
Public Health Agency of Canada,Montréal QC,Analyst/Researcher,93900
Government of Saskatchewan,Regina SK,Senior Data/Report Analyst,96106
Dempton Services Professionnels,Montréal QC,analyst computer,122500
Best Buy,Canada,Data Analyst – Voice of Customer,54579
AgencyAnalytics,Remote,Data Analyst,54579
Teck Resources Limited,"Sparwood, BC",Environmental Data Analyst,54579
Fraser Health,"Surrey, BC","Information and Data Analyst, Population Health Observatory",54579
Scotiabank,"Toronto, ON","Analyst, Static Data",54579
CNOOC International,"Calgary, AB",Analyst - Data Engineering and Analytics,54579
Source Atlantic,"Saint John, NB",Data Analyst,54579
Bouclair,"Pointe-Claire, QC",Customer Data Analyst,54579
Baker Hughes,"Calgary, AB",Data Analyst,54579
Sobeys,"Calgary, AB","Analyst, HR Analytics",54579
CDL Rapid Screening Consortium,"Toronto, ON",Data Analyst,54579
Geotab,"Waterloo, ON",Salesforce Data Analyst,54579
BC Public Service,"Victoria, BC",RES O 21R - Junior Data Analyst,54579
Cronometer Software Inc.,"Revelstoke, BC",Co-op Student Nutrition Data Analyst,54579
Microsoft,"Vancouver, BC",Data Analyst,54579
RBC,"Toronto, ON","Data Analyst, CMG Book Management",54579
Suncor Energy Services,"Calgary, AB","Analyst, Data Analytics",54579
Icon plc,Remote,Clinical Data Analyst,54579
Fraser Health,"Surrey, BC",Research Data Analyst,54579
Ubisoft,"Montréal, QC","Data Analyst, Subscription",54579
EMHware,"Toronto, ON",Data Migration Analyst,54579
University of Waterloo,"Waterloo, ON",Junior Data Analyst,54579
Loblaw Companies Limited,"Brampton, ON",Data Science Analyst,54579
Suncor Energy Services,"Calgary, AB",Data Visualization Developer,54579
Covenant House Vancouver,"Vancouver, BC",Data Analyst,54579
Celtx Inc,"St. John's, NL",Data Analyst,54579
OMERS,"Toronto, ON",Data Analytics Analyst,54579
Connect First Credit Union,"Calgary, AB",Business Intelligence Analyst,54579
Lululemon,"Vancouver, BC","Omni Fulfillment & Inventory Analyst, International",54579
Avison Young,"Edmonton, AB",Data Analyst,54579
None,None,None,54579
None,None,None,54579
None,None,None,54579
None,None,None,54579
None,None,None,54579
None,None,None,54579
None,None,None,54579
None,None,None,54579
None,None,None,54579
None,None,None,54579
None,None,None,54579
None,None,None,54579
