Company,Location,Title,Salary
MSi Corp (Bell Canada,Quebec City QC,Business Intelligence Developer,31200
ETS Educational Testing Service Canada Inc.,Toronto ON,Research Data Analyst,47500
Agriculture Financial Services Corporation,Lacombe AB,Data Science - Summer Student,50211
DMG BLOCKCHAIN SOLUTIONS,Vancouver BC,Junior Data Scientist,54000
Juno College of Technology,Toronto ON,Data Science Instructor,77500
Technology Smart Inc,None,Intermediate Machine Learning Engineer,80380
Mishon Inc,Remote,Data Scientist,83200
Mastech InfoTrellis,Ottawa ON,Data Scientist,88452
Mastech InfoTrellis,Ottawa ON,Data Scientist,88452
CyberCoders,None,Machine Learning Engineer,90000
Innovation Credit Union,Canada,Data Scientist,92629
Innovation Credit Union,Canada,Data Scientist,92629
Public Services and Procurement Canada,Gatineau QC,Data Analyst and Data Scientist,93900
BluVec Technologies INC,Surrey BC,data scientist,95000
Tangam Systems,Waterloo ON,Software Engineer in Algorithms & Optimization for Data Anal...,97500
Staffinity Inc.,None,Data Scientist - Sports Analytics,100000
Amazon Web Services Canada In,Ontario,Applied Science Intern - Speech Technologies Computer Visio...,118643
CyberCoders,None,Senior ML Engineer - Computer Vision for Facial Recognition,140000
TELUS,Edmonton AB,Data Analyst/Engineer,161200
TELUS,Edmonton AB,Data Analyst/Engineer,161200
Charger Logistics Inc.,None,Data Scientist,92179
Highwood Emissions Management Inc.,"Calgary, AB",Data Scientist,92179
RBC,"Toronto, ON",Junior Data Scientist,92179
RWDI,"Guelph, ON",Scientist/Engineer - Applied Climatology,92179
Hopper,Canada,Data Scientist,92179
Eastside Games,Remote,Sr Data Scientist,92179
Minevest Ltd.,"Toronto, ON",Data Scientist Intern,92179
Telesat,"Ottawa, ON",Data Scientist,92179
RBC,"Toronto, ON",Research Data Scientist,92179
Electrical Safety Authority,"Mississauga, ON",Data Scientist,92179
PointClickCare,Remote,Data Scientist,92179
Absorb LMS,"Calgary, AB",Applied Data Scientist,92179
Infostrux Solutions,British Columbia,"Data Scientist, Remote",92179
SkipTheDishes,"Calgary, AB",Data Scientist,92179
Two Hat,"Kelowna, BC",Data Scientist,92179
Microsoft,"Vancouver, BC",Data & Applied Scientist II,92179
Hach,"Vancouver, BC",Aquatic Informatics - Sr. Data Scientist,92179
Splunk,"Vancouver, BC",Applied Scientist (Machine Learning) - Remote BC or Ontario,92179
Pani Energy Inc,"Victoria, BC",Data Scientist,92179
SimpTek Technologies,Nova Scotia,Student Data Scientist,92179
Oracle,"Vancouver, BC",Senior Data Scientist,92179
Profitable Software Inc.,"Vancouver, BC",Junior Data Scientist,92179
Stantec,"Calgary, AB",Geospatial Data Scientist,92179
Cisco Systems,"Vancouver, BC","Data Scientist, Product Metrics and A/B Testing",92179
SomaDetect,"Toronto, ON",Data Scientist,92179
BC Public Service,"Victoria, BC",RES O 27R - Data Scientist AMENDED,92179
TD Bank,"Montréal, QC",Data Scientist I,92179
Kinsol Research,British Columbia,Data Scientist,92179
Rogers Communications,"Toronto, ON",Senior Data Scientist,92179
"Amazon Web Services Canada, In",Canada,Associate Data Scientist - AWS Professional Services,92179
Integra Data & Analytic Solutions,"Calgary, AB",DATA SCIENTIST,92179
Opta Information Intelligence Corp.,"Markham, ON",Data Scientist,92179
CGI Inc,"Montréal, QC",Data Scientist,92179
Microsoft,"Vancouver, BC",Data Scientist,92179
PwC,None,"Deals, Data Analytics, Senior Associate",92179
Power Factors,None,"Data Scientist, Solar & Storage (Remote)",92179
MaxSold,None,Data Scientist,92179
Neelands,None,Data Scientist,92179
PwC,None,"Deals, Data Analytics, Manager",92179
Charger Logistics Inc.,None,Data Scientist,92179
Twitter,"Toronto, ON",Data Scientist - Product Data Science,92179
Lululemon,"Vancouver, BC",Senior Data Scientist,92179
Hootsuite,Ontario,Senior Data Analyst,92179
Avanade,"Calgary, AB",Data Science Consultant,92179
BC Public Service,"Victoria, BC","BAND 4 - Senior Director, Audit Business Intelligence and Op...",92179
Amazon Dev Centre Canada ULC,"Vancouver, BC","Applied Scientist, Alexa Smart Home",92179
Staples Canada,"Richmond Hill, ON","Data Scientist, Supply Chain/Customer Profitability",92179
Aviva,"Markham, ON",Data Scientist,92179
Bold Commerce,"Calgary, AB",Senior Data Analyst,92179
Awakedata,"Burnaby, BC",Data Scientist,92179
District M,"Montréal, QC",Product Data Scientist,92179
Zesty.ai,"Montréal, QC",Data Scientist (Machine Learning),92179
Launchtrip,"Vancouver, BC",A.I. / Data Scientist,92179
Teck Resources Limited,"Vancouver, BC",Data Scientist - RACE21,92179
Salesforce,"Vancouver, BC","Lead Applied Data Scientist, NLP - Tableau",92179
Wish,"Toronto, ON",Data Scientist - Data & Relevancy,92179
Thinking Capital,"Ottawa, ON",Data Scientist,92179
IBM,"Markham, ON",Data Scientist Intern (8 Months),92179
Cardinal Path,"Toronto, ON",Data Scientist,92179
Square,"Toronto, ON","Machine Learning Modeler, Growth",92179
IBM,"Ottawa, ON",Data Scientist and Managing Strategy Consultant,92179
SimpTek Technologies,Nova Scotia,Student Data Scientist,92179
Cyber Chasse,Canada,Data Science,92179
Shift Technology,"Toronto, ON",Data Scientist - Canada,92179
Peak Power,"Toronto, ON",Lead Data Scientist,92179
Picovoice Inc,"Vancouver, BC",Machine Learning Engineer - New Grad,92179
Electronic Arts,"Vancouver, BC",Data Scientist - EA SPORTS Security,92179
Teck Resources Limited,"Vancouver, BC",Data Scientist - RACE21,92179
BDO,"Calgary, AB",Senior Data Scientist,92179
Twitter,"Toronto, ON",Data Scientist - Product Data Science,92179
Zesty.ai,"Montréal, QC",Data Scientist (Machine Learning),92179
District M,"Montréal, QC",Product Data Scientist,92179
Salesforce,"Vancouver, BC","Lead Applied Data Scientist, NLP - Tableau",92179
Guestlogix,Remote,Data Scientist,92179
Shift Technology,"Toronto, ON",Data Scientist - Canada,92179
Prodigy Game,"Oakville, ON","Data Scientist, Revenue & Modelling",92179
PwC,None,"Deals, Data Analytics, Senior Associate",92179
Charger Logistics Inc.,None,Data Scientist,92179
MaxSold,None,Data Scientist,92179
Neelands,None,Data Scientist,92179
PwC,None,"Deals, Data Analytics, Manager",92179
General Motors,Ontario,Machine Learning Software Engineer,92179
TextNow,Canada,"Senior Data Scientist, Product Analytics",92179
Temetrix,"Ottawa, ON",SENIOR DATA SCIENTIST,92179
Loblaw Companies Limited,"Brampton, ON","Analyst, Loyalty Program Management",92179
Brain Finance,"Montréal, QC",Data Scientist,92179
Hill+Knowlton Strategies,"Vancouver, BC",Data Analyst,92179
Aviva,"Markham, ON",Senior Data Analyst,92179
