Company,Location,Title,Salary
City of Ottawa,Ottawa ON,Summer StudentTraffic Control Data Analyst Assistant,14851
City of Brampton,Brampton ON,Assistant Asset Management Data Analyst – Co-op,17409
Tundra,Vancouver BC,Data Analyst,21840
Inland Empire United Way,Riverside ON,211 Data Analyst,22880
Child Development Institute,Toronto ON,Research Data Analyst,30816
DXC,Saskatchewan,Junior Business Analyst,31200
Dynamic Endoscopy & Speciality Care,St. Catharines ON,database analyst,35360
North Vista Immigration Consultants Inc.,Mississauga ON,database analyst,37960
EU Health and Innovations Inc.,Thornhill ON,data analyst - informatics and systems,40500
Savaria Concord Lifts Inc.,Brampton ON,Inventory Analyst,42500
Great Western Brewing Company,Calgary AB,Business Intelligence Coordinator,47500
The Bradford Group,None,Data Analyst,47500
Global Affairs Canada,Ottawa ON,Business Intelligence Analyst/Policy Analyst - Student,50939
Data Sciences,None,Market Research Analyst,57000
Dealer Media,None,Data Analyst/Administrative Assistant,57500
Cascade Aerospace Inc.,Abbotsford BC,programmer analyst,62500
TCU Financial Group,None,Business Intelligence Analyst (Power BI,64800
Saskatchewan Polytechnic,Saskatchewan,Technical Analyst - Systems (Data Center Team,65292
Field Safe Solutions,None,Support Analyst,70000
DocuPet,None,Data Analyst,70000
University of Regina,Regina SK,Business Analyst,70684
Government of Alberta,Edmonton AB,Business Analyst,72510
Public Health Ontario,Toronto ON,Health Analyst - 21-0126,72776
Shared Health,Winnipeg MB,Public Health Contact Centre Business Analyst,76554
Vision Investment Group,Cambridge ON,analyst business - computer systems,81744
CITY OF BRANTFORD,Brantford ON,Data & Program Analyst - Housing Stability (up to 3 year con...,81941
Mohawk College,Hamilton ON,Senior Business Analyst (Temporary Assignment: May 2021 - Se...,83815
City of Calgary,Calgary AB,Business Analyst,87432
Canada Revenue Agency,Canada,ES-04 Analyst (ES0202,95328
Government of the Northwest Territories,Yellowknife NT,Human Resources Business Analyst,101500
TechAheadCorp,Toronto ON,Business Analyst - FRTB,130000
Inter Pipeline,"Calgary, AB",Data Analyst,59439
Ubisoft,"Halifax, NS",Data Analyst,59439
UNITED PARCEL SERVICE,"Burlington, ON",Sales Ops Data Analyst,59439
Lambton College,"Sarnia, ON",Data Analyst,59439
Geotab,"Oakville, ON",Data Analyst,59439
ATP,"Brisbane, ON",Aviation Data Quality Analyst,59439
Bell Canada,"Toronto, ON","Data Analyst, Business Intelligence",59439
Neo Financial,"Calgary, AB",Partnerships Data Analyst,59439
Suncor Energy Services,None,Data Visualization Analyst (Developer),59439
Dermalogica,None,Sales Data Analyst,59439
Magna International Inc.,None,BI Developer/Analyst,59439
resulta,"Bedford, QC",Data Analyst,59439
SSENSE,"Montréal, QC",Data Governance Analyst - Level 2,59439
BAE Systems Applied Intelligence,"Toronto, ON",Data Analyst,59439
The Chapman Group,"Fredericton, NB",Data Analyst,59439
Loblaw Companies Limited,"Brampton, ON",Data Science Analyst,59439
British Columbia Securities Commission,"Vancouver, BC",Data Analyst,59439
Aecon Group,"Toronto, ON",Data Analyst,59439
AdGear,"Hampstead, QC",Data Analyst – Contract role,59439
Charger Logistics Inc.,None,Logistics Analyst,59439
Helcim,"Calgary, AB",Data Analyst,59439
AltaGas Ltd.,"Calgary, AB","Analyst, Market Risk",59439
Moneris Solutions Corporation,"Etobicoke, ON","Analyst II, Data Science",59439
Ipnos Software,"Montréal, QC",Data analyst (Summer internship),59439
Loblaw Companies Limited,"Brampton, ON","Sn Analyst, Data Stewardship",59439
Charger Logistics Inc.,None,Logistics Analyst,59439
Rogers Communications,"Toronto, ON",Sr Analyst Research Des&Exec,59439
Modern Cleaning Concept,None,Junior Business Analyst,59439
Scotiabank,"Toronto, ON",Advisory Data Analyst,59439
BGIS,"Calgary, AB",Data Centre Analyst,59439
Sun Life Financial,None,Intermediate Cloud Infrastructure Analyst (New Grad),59439
Iovate Health Sciences International Inc.,"Oakville, ON",Master Data Analyst,59439
Cummins Inc.,"Mississauga, ON",Fuel Cell Data Engineer / Analyst,59439
Bureau Veritas,"Mississauga, ON",HRMS Operator/Data Analyst - HRMS Instrumentation Lab,59439
Clearly,Remote,Data Analyst,59439
Xplornet Communications Inc.,"Woodstock, NB",Programmer Analyst - SQL,59439
Mawer Investment Management Ltd.,"Calgary, AB",Business Intelligence Analyst,59439
