Title,Location,Company,Salary
Senior Data Analyst,"Kelowna, BC",The Valens Company Inc,None
Machine Learning Scientist,"Vancouver, BC","Amazon.com.ca, Inc.",None
Business Intelligence Data Developer,"Burnaby, BC",PHSA,$39.67 an hour
Data Scientist,"Toronto, ON",Cerebri AI,None
Applied Machine Learning Intern,"Toronto, ON",Vector Institute,None
Data Scientist,"Kitchener, ON",Praemo,None
Senior Data Scientist - QuantumBlack,"Montréal, QC",McKinsey & Company,None
Data Analyst,"Toronto, ON",Brookfield Asset Management,None
"Machine Learning Software Engineer, Summer 2021 Co-op Opport...",Ontario,RBC,None
Data Scientist,"Toronto, ON",ASSURANCE,None
Senior Data Scientist,"Toronto, ON",Amazon Dev Centre Canada ULC,None
Data Scientist,"Toronto, ON",Altus Group,None
"Summer 2021 Intern - Electronics, Desktop Data Science (Remo...","Vancouver, BC",ANSYS,None
Director of Data Science,"Toronto, ON",Overbond,None
Applied Scientist (Remote),"Toronto, ON",Yelp,None
"Data Analytics and Implementation Lead, KPMG Lighthouse","Montréal, QC",KPMG,None
Sr. Data Scientist,"Vancouver, BC",Skillz Inc.,None
Machine Learning Scientist,"Toronto, ON",Chisel AI,None
Data Scientist,"Toronto, ON",MightyHive,None
Senior Applied Data Scientist,None,None,None
Data Analytics,None,Enterprise Solutions Inc,None
Applied Scientist- Remote BC or Ontario,"Vancouver, BC",Splunk,None
Senior Data Scientist - RACE21,"Vancouver, BC",Teck Resources Limited,None
Data Science Intern,"Toronto, ON",AOMS Technologies Inc.,None
Data Scientist/Time Series,"Markham, ON",Scarsin,None
Data Scientist,"Greater Toronto Area, ON",fgf brands,None
Data Analyst,"Montréal, QC",Notik,"$40,000 - $75,000 a year"
Data Science Manager - Marketplaces (Remote),"Toronto, ON",Yelp,None
"Data Scientist, People Analytics","Toronto, ON",Restaurant Brands International,None
Data Science Specialist,"Toronto, ON",Deloitte,None
Data Scientist I,"Winnipeg, MB",Wawanesa,None
Data Scientist,None,Belcan,None
Machine Learning NLP Developer,None,Robert Half,"$90,000 - $100,000 a year"
Data Scientist,None,autoTRADER.ca,None
Senior Data Scientist,None,MaxSold,None
Senior Applied Research Scientist,None,ZeroKey,"$100,000 - $125,000 a year"
SENIOR DATA SCIENTIST,"Ottawa, ON",Temetrix,None
Machine Learning Engineer Intern,"Vancouver, BC",ChilliConnect,None
"Senior Data Scientist TORONTO, ONSOFTWARE","Toronto, ON",Tonal,None
21-03 Analytics and Data Science Specialist,"Edmonton, AB",Alberta Pensions Services,None
Product Manager Data & Analytics,"Vancouver, BC",iQmetrix,None
