Title,Location,Company,Salary
Data Analyst (Remote),None,Canadian Mental Health Association,$25.48 - $29.98 an hour
Data Analyst – Voice of Customer,None,None,None
Data Analyst,None,"Tyler Technologies, Inc.",None
Data Analyst,None,TECHSUPPORT.CA CORP,"$45,000 - $55,000 a year"
Technical Data/Business Analyst,None,NTT DATA Corporation,None
Analyst - Data and Analytics - TCC,"Montréal, QC",Air Canada,None
Junior Data Analyst,None,AppleOne,"$38,500 a year"
Business Intelligence Analyst Intern,None,Lafarge Canada,None
"Senior Data Analyst, Oncology PRCC","Mississauga, ON",Trillium Health Partners,None
Data Analyst – Voice of Customer,Canada,Best Buy,None
Business and IT Analyst - Remote Summer Intern,None,Lake of Bays Brewing Company Ltd.,$14.25 an hour
systems analyst,"Whitbourne, NL",Iron Berry Inc.,$26.44 - $36.06 an hour
Sr. Data Analyst,None,Kal Tire,None
"Analyst, Operations Data Integrity (Volume)","Halifax, NS",Canada Post - Postes Canada,None
Co-op Student Nutrition Data Analyst,"Revelstoke, BC",Cronometer Software Inc.,None
Marketing Data Analyst,"Montréal, QC",VidCruiter,"$75,000 a year"
"CO-OP, BI Analyst","Brampton, ON",Loblaw Companies Limited,None
Data Analyst,"Edmonton, AB",Treeline IT Solutions,"$60,000 - $150,000 a year"
"analyst, database","Delta, BC",Insignia College,$32 an hour
Marketing - Market Research Analyst (Co-op),"Toronto, ON",Great Gulf,None
database analyst,"St. Catharines, ON",Dynamic Endoscopy & Speciality Care,$34 an hour
Business Intelligence Analyst,"Ottawa, ON",Thinking Capital,None
Data Analyst,Remote,AgencyAnalytics,None
Data Analyst Co-op/Intern [September 2021],"Vancouver, BC",A Thinking Ape,None
Senior Data Acquisition Analyst,"Toronto, ON",TD Bank,None
Data Analyst,"St. John's, NL",Celtx Inc,None
Data Analyst,"Vancouver, BC",Microsoft,None
Data Analyst,"Vancouver, BC",Electronic Arts,None
data analyst - informatics and systems,"Richmond Hill, ON",AWM Financial Service Inc,$40 an hour
Policy Analyst,"Regina, SK",City of Regina,$36.35 - $45.45 an hour
"Data Analyst, Fall 2021 Student Opportunities (8 Months Only...",Ontario,RBC,None
investment analyst,"Bedford, NS",XK Holdings Inc.,"$53,000 a year"
Analyst - Valuation Services,"London, ON",J.D. Power,None
Junior Data Analyst,"Vaughan, ON",Q & A BP Consulting,"$42,905 - $52,440 a year"
Fraud Data Analyst,"Montréal, QC",Mistplay,None
Data Analyst,Ontario,Life House,None
Business Analyst - Data + Insights Team,"Vancouver, BC",FoodX,None
Business Support Analyst,"Prince Albert, SK",Government of Saskatchewan,$33.36 - $41.81 an hour
Senior Research Analyst,"Langley, BC",First West Credit Union,None
"Data Analyst, PPC and SEO","Abbotsford, BC",i-Open Technologies,None
Senior Data Analyst,None,AppleOne,"$107,300 a year"
Environmental Data Analyst,"Sparwood, BC",Teck Resources Limited,None
"Analyst II, Product Quality Vigilance (PQV)",Canada,Johnson & Johnson Family of Companies,"$56,000 - $78,000 a year"
"Commercial Emerging Talent (CET), Analyst","Calgary, AB",Plains Midstream Canada,None
information systems business analyst,"Mississauga, ON",Paliwal Technologies INC,$38.94 - $40.94 an hour
Senior Data Acquisition Analyst,"Toronto, ON",TD Bank,None
Data Visualization Specialist,"Edmonton, AB",The Workers' Compensation Board,"$81,888 a year"
Business Analyst - Data + Insights Team,"Vancouver, BC",FoodX,None
Collaboration and Messaging Analyst,"Calgary, AB",Suncor Energy Services,None
Business Analyst,"Mississauga, ON",Just Energy,None
"Planning, Assessment & Research Analyst","Edmonton, AB",Edmonton Public Library,$38.56 - $49.22 an hour
Data Analyst,"Vancouver, BC",Microsoft,None
data analyst - informatics and systems,"Thornhill, ON",EU Health and Innovations Inc.,"$81,000 a year"
Junior Data Analyst,"Niagara Falls, ON",Canadian Niagara Hotels,None
Sales Intelligence Analyst,"Mirabel, QC",Biesse,None
Business Analyst,"Mississauga, ON",Desjardins,None
Data Analyst,"Edmonton, AB",Avison Young,None
Data Analyst,"Toronto, ON",Lucova,None
Data Analyst,"Vancouver, BC",Electronic Arts,None
Data Analyst,"Montréal, QC",Evercore,None
Retail Analyst,"Brampton, ON",ABB Inc,None
"Planning, Assessment & Research Analyst","Edmonton, AB",Edmonton Public Library,$38.56 - $49.22 an hour
Data Analyst II - Telemetry,"Vancouver, BC",Microsoft,None
Assistant Advertising Data Analyst,"Comox Valley, BC",Mycelium Marketing,$20 - $25 an hour
Sr. Data Analyst - DTS Analytics,"Vancouver, BC",Electronic Arts,None
Microsoft Data Analyst/Engineer,Prince Edward Island,Bulletproof,None
"Data Analyst, Clinical Division","Vancouver, BC",PHSA,None
Senior Data Analyst,"Markham, ON",Aviva,None
Business Systems Analyst – Data Analyst,"Toronto, ON",SYNNEX Corporation,None
"Data Analyst Intern, Controlling (12 Months)","Toronto, ON",BMW Group Financial Services Canada,None
Workforce Real Time Analyst,"Oakville, ON",Geotab,None
Data Analyst,"Toronto, ON",SickKids,None
SENIOR POLICY AND PLANNING ANALYST,"Toronto, ON",Ministry of Colleges and Universities,"$74,136 - $109,246 a year"
PMO Analyst,"Toronto, ON",fabriik,None
Application Support Analyst,Ontario,Centro,None
Data Analyst,"National Capital Region, ON",Infinity Technology,None
Policy Analyst,"Regina, SK",City of Regina,$36.35 - $45.45 an hour
